"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"3647","712519.768000","0.184000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #3650]"
"3648","712519.769000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3647] [Reassembled in #3650]"
"3649","712519.771000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3647] [Reassembled in #3650]"
"3650","712519.772000","0.001000","remote ()","localhost ()","L2CAP","39","Rcvd Connection oriented channel"
"3651","712519.773000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"3652","712519.774000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #3659]"
"3653","712519.791000","0.017000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"3654","712519.799000","0.008000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3652] [Reassembled in #3659]"
"3655","712519.801000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3652] [Reassembled in #3659]"
"3656","712519.801000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3652] [Reassembled in #3659]"
"3657","712519.801000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3658","712519.801000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3659","712519.803000","0.002000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"3661","712519.829000","0.011000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #3667]"
"3662","712519.832000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3661] [Reassembled in #3667]"
"3663","712519.832000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3661] [Reassembled in #3667]"
"3664","712519.835000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3661] [Reassembled in #3667]"
"3667","712519.859000","0.001000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"3668","712519.859000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #3682]"
"3669","712519.861000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3668] [Reassembled in #3682]"
"3670","712519.862000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3668] [Reassembled in #3682]"
"3671","712519.865000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3668] [Reassembled in #3682]"
"3672","712519.873000","0.008000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"3673","712519.886000","0.013000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #3677]"
"3674","712519.887000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #3673] [Reassembled in #3677]"
"3675","712519.887000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #3673] [Reassembled in #3677]"
"3676","712519.887000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #3673] [Reassembled in #3677]"
"3677","712519.887000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"3678","712519.887000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #3680]"
"3679","712519.887000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #3678] [Reassembled in #3680]"
"3680","712519.887000","0.000000","localhost ()","remote ()","L2CAP","34","Sent Connection oriented channel"
"3682","712519.919000","0.024000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"3683","712519.921000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #3690]"
"3684","712519.922000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3685","712519.922000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3686","712519.924000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3683] [Reassembled in #3690]"
"3687","712519.950000","0.026000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3688","712519.950000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3683] [Reassembled in #3690]"
"3689","712519.950000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3690","712519.952000","0.002000","remote ()","localhost ()","L2CAP","183","Rcvd Connection oriented channel"
"3691","712519.953000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"3692","712519.955000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #3700]"
"3693","712519.955000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3694","712519.955000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3695","712519.980000","0.025000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3692] [Reassembled in #3700]"
"3696","712519.983000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3692] [Reassembled in #3700]"
"3697","712519.983000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #3692] [Reassembled in #3700]"
"3698","712519.983000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3699","712519.983000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3700","712520.009000","0.026000","remote ()","localhost ()","L2CAP","24","Rcvd Connection oriented channel"
"3701","712520.009000","0.000000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"3702","712520.009000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3703","712520.009000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3704","712520.010000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #3707]"
"3705","712520.010000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #3704] [Reassembled in #3707]"
"3706","712520.010000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #3704] [Reassembled in #3707]"
"3707","712520.010000","0.000000","localhost ()","remote ()","L2CAP","147","Sent Connection oriented channel"
"3708","712520.011000","0.001000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"3709","712520.024000","0.013000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #3713]"
"3710","712520.024000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #3709] [Reassembled in #3713]"
"3711","712520.024000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #3709] [Reassembled in #3713]"
"3712","712520.024000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #3709] [Reassembled in #3713]"
"3713","712520.025000","0.001000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"3714","712520.025000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #3716]"
"3715","712520.025000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #3714] [Reassembled in #3716]"
"3716","712520.025000","0.000000","localhost ()","remote ()","L2CAP","42","Sent Connection oriented channel"
"3717","712520.041000","0.016000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3718","712520.041000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3719","712520.043000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3720","712520.043000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3721","712520.044000","0.001000","remote ()","localhost ()","L2CAP","92","Rcvd Connection oriented channel"
"3722","712520.045000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"3723","712520.047000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3724","712520.070000","0.023000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3725","712520.071000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3726","712520.073000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3727","712520.073000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3728","712520.075000","0.002000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"3729","712520.078000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3730","712520.100000","0.022000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3731","712520.100000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3732","712520.129000","0.029000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3733","712520.129000","0.000000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"3734","712520.129000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3735","712520.130000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"3736","712520.130000","0.000000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"3738","712520.161000","0.017000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3740","712520.188000","0.027000","remote ()","localhost ()","L2CAP","92","Rcvd Connection oriented channel"
"3741","712520.189000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"3743","712520.230000","0.036000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"3744","712520.233000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3745","712520.277000","0.044000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"3746","712520.397000","0.120000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
