"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"508","187015.447000","0.001000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"517","187015.475000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"534","187015.538000","0.000000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"535","187015.543000","0.005000","localhost ()","TelinkSe_50:a6:51 (QN-Scale)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 185"
"543","187015.599000","0.020000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"552","187015.659000","0.010000","TelinkSe_50:a6:51 (QN-Scale)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 23"
"591","187015.666000","0.002000","localhost ()","TelinkSe_50:a6:51 (QN-Scale)","ATT","14","Sent Write Request, Handle: 0x0014 (Unknown)"
"598","187015.738000","0.022000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"606","187015.749000","0.003000","TelinkSe_50:a6:51 (QN-Scale)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0014 (Unknown)"
"607","187015.749000","0.000000","localhost ()","TelinkSe_50:a6:51 (QN-Scale)","ATT","14","Sent Write Request, Handle: 0x0017 (Unknown)"
"613","187015.784000","0.007000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"618","187015.809000","0.005000","TelinkSe_50:a6:51 (QN-Scale)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0017 (Unknown)"
"649","187016.078000","0.002000","TelinkSe_50:a6:51 (QN-Scale)","localhost ()","ATT","27","Rcvd Handle Value Notification, Handle: 0x0013 (Unknown)"
"650","187016.080000","0.002000","localhost ()","TelinkSe_50:a6:51 (QN-Scale)","ATT","21","Sent Write Command, Handle: 0x0019 (Unknown)"
"653","187016.123000","0.019000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"656","187016.139000","0.013000","TelinkSe_50:a6:51 (QN-Scale)","localhost ()","ATT","23","Rcvd Handle Value Notification, Handle: 0x0013 (Unknown)"
"672","187016.259000","0.002000","TelinkSe_50:a6:51 (QN-Scale)","localhost ()","ATT","23","Rcvd Handle Value Notification, Handle: 0x0013 (Unknown)"
