"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"187","80208.978000","remote ()","0.055000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"196","80209.994000","remote ()","0.083000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"221","80212.929000","localhost ()","0.258000","remote ()","ATT","20","Sent Handle Value Notification, Handle: 0x0028 (Unknown)"
"240","80213.039000","remote ()","0.022000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"242","80213.039000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"246","80213.184000","remote ()","0.023000","localhost ()","ATT","30","Rcvd Write Request, Handle: 0x0025 (Unknown)"
"247","80213.187000","localhost ()","0.003000","remote ()","ATT","10","Sent Write Response, Handle: 0x0025 (Unknown)"
"248","80213.187000","localhost ()","0.000000","remote ()","ATT","107","Sent Handle Value Notification, Handle: 0x002b (Unknown)"
"263","80213.329000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"266","80213.410000","controller","0.006000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"279","80217.244000","remote ()","0.081000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"649","80232.324000","remote ()","0.185000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"657","80234.353000","remote ()","0.170000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"668","80237.399000","remote ()","0.216000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"832","80240.444000","remote ()","0.140000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"837","80241.603000","remote ()","0.030000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"841","80243.344000","remote ()","0.066000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"845","80244.504000","remote ()","0.326000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"849","80245.374000","remote ()","0.252000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"855","80246.534000","remote ()","0.278000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1039","80252.624000","remote ()","0.249000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1052","80255.524000","remote ()","0.406000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
