"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"36","69112.181000","remote ()","0.207000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"42","69112.828000","localhost ()","0.260000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"45","69113.150000","controller","0.279000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"48","69113.196000","remote ()","0.020000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"49","69113.200000","localhost ()","0.004000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"51","69113.432000","controller","0.111000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"53","69113.485000","remote ()","0.053000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"55","69113.486000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"57","69113.736000","controller","0.247000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"61","69114.356000","remote ()","0.002000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"62","69114.359000","remote ()","0.003000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"63","69114.361000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"64","69114.502000","remote ()","0.141000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"65","69114.503000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"66","69114.507000","remote ()","0.004000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"67","69114.648000","remote ()","0.141000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"70","69114.793000","remote ()","0.004000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"71","69114.795000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"72","69114.938000","remote ()","0.143000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"73","69115.082000","remote ()","0.144000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"74","69115.083000","remote ()","0.001000","localhost ()","ATT","133","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"75","69115.083000","remote ()","0.000000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"76","69115.226000","remote ()","0.143000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"167","69116.003000","localhost ()","0.001000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"185","69116.110000","controller","0.077000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"186","69116.110000","controller","0.000000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"189","69116.143000","remote ()","0.029000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"190","69116.146000","localhost ()","0.003000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"191","69116.147000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"192","69116.148000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"193","69116.149000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"194","69116.149000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"195","69116.150000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"196","69116.151000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
