"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"58","5274.921000","0.012000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"65","5275.511000","0.011000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"96","5277.645000","0.016000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"106","5278.234000","0.010000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"108","5278.506000","0.001000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"112","5278.563000","0.040000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"122","5279.437000","0.006000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"129","5279.768000","0.034000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"132","5280.027000","0.018000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"133","5280.304000","0.277000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"156","5281.567000","0.028000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"169","5282.703000","0.162000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"186","5283.610000","0.060000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"198","5284.816000","0.007000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"205","5285.404000","0.239000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"237","5286.333000","0.000000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"239","5286.611000","0.024000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"242","5286.667000","0.002000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"255","5287.540000","0.024000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"345","5289.334000","0.005000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"356","5289.666000","0.026000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"358","5289.923000","0.016000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"540","5299.474000","0.293000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"578","5301.267000","0.265000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"588","5301.932000","0.007000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"591","5302.470000","0.278000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"601","5303.066000","0.266000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"606","5303.723000","0.293000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"622","5304.281000","0.008000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"633","5304.871000","0.134000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"643","5305.196000","0.010000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"646","5305.529000","0.228000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"652","5305.788000","0.008000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"713","5307.119000","0.257000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"739","5308.914000","0.005000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"749","5309.501000","0.264000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"763","5310.707000","0.004000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"805","5311.638000","0.015000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"844","5312.501000","0.002000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"850","5312.557000","0.002000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"870","5313.761000","0.002000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"874","5314.021000","0.012000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"911","5315.557000","0.023000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"913","5315.812000","0.255000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"958","5316.742000","0.000000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"976","5316.809000","0.019000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1276","5323.402000","0.023000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1283","5323.734000","0.028000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1287","5323.989000","0.085000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1306","5325.192000","0.259000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1315","5325.781000","0.297000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1393","5327.723000","0.001000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1474","5329.852000","0.042000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1494","5331.293000","0.276000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1508","5332.225000","0.017000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1511","5332.498000","0.248000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"1522","5333.155000","0.026000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
