"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"322","492552.163000","0.000000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"333","492552.179000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"346","492552.257000","0.003000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"347","492552.257000","0.000000","host","controller","HCI_CMD","6","Sent LE Read Remote Features"
"356","492552.317000","0.025000","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Read Remote Features Complete)"
"364","492552.377000","0.003000","controller","host","HCI_EVT","14","Rcvd LE Meta (LE Data Length Change)"
"365","492552.380000","0.003000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 527"
"383","492552.437000","0.002000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 247"
"384","492552.437000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff"
"385","492552.462000","0.025000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"394","492552.497000","0.007000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","35","Rcvd Read By Group Type Response, Attribute List Length: 4, Generic Access Profile, Generic Attribute Profile, Device Information, Dialog Semiconductor GmbH"
"395","492552.498000","0.001000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x002b..0xffff"
"396","492552.525000","0.027000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"401","492552.557000","0.012000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","31","Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown"
"402","492552.557000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x003c..0xffff"
"404","492552.579000","0.019000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"412","492552.647000","0.028000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","14","Rcvd Error Response - Attribute Not Found, Handle: 0xffff (Unknown: Unknown)"
"413","492552.648000","0.001000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0006..0x0009"
"414","492552.650000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"418","492552.707000","0.011000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","18","Rcvd Read By Type Response, Attribute List Length: 1, Service Changed"
"419","492552.707000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","14","Sent Find Information Request, Handles: 0x0009..0x0009"
"426","492552.736000","0.016000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"436","492552.767000","0.007000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","15","Rcvd Find Information Response, Handle: 0x0009 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"437","492552.767000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","14","Sent Write Request, Handle: 0x0009 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"438","492552.802000","0.035000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"449","492552.828000","0.007000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0009 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"461","492552.831000","0.003000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x000a..0x0016"
