"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"32","152907.584000","0.181000","remote ()","localhost ()","ATT","16","Rcvd Handle Value Notification, Handle: 0x004a (Unknown)"
"33","152907.611000","0.027000","localhost ()","remote ()","ATT","21","Sent Write Command, Handle: 0x004d (Unknown)"
"34","152907.674000","0.063000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"35","152907.675000","0.001000","localhost ()","remote ()","ATT","21","Sent Write Command, Handle: 0x004d (Unknown)"
"36","152907.678000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"37","152907.764000","0.086000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"38","152907.869000","0.105000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"65","152910.522000","0.026000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"67","152910.599000","0.070000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"68","152910.705000","0.106000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"235","152912.529000","0.012000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"236","152912.985000","0.456000","remote ()","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0053 (Unknown)"
"237","152912.987000","0.002000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"238","152913.093000","0.106000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"245","152914.529000","0.045000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"247","152914.880000","0.266000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"249","152914.920000","0.040000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"251","152915.460000","0.285000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"253","152915.864000","0.378000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"255","152916.270000","0.160000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"257","152916.529000","0.036000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"259","152916.675000","0.002000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"260","152916.720000","0.045000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"261","152916.731000","0.011000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"263","152917.079000","0.348000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"264","152917.440000","0.361000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"268","152917.845000","0.249000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"273","152918.250000","0.049000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"278","152918.521000","0.003000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"280","152918.655000","0.133000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"281","152918.700000","0.045000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"282","152918.806000","0.106000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"284","152919.059000","0.248000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"289","152919.464000","0.053000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"291","152919.533000","0.002000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"292","152919.600000","0.067000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"293","152919.662000","0.062000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"297","152920.275000","0.274000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"300","152920.680000","0.061000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"403","152921.446000","0.004000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"454","152921.542000","0.000000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"461","152921.849000","0.297000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"462","152921.894000","0.045000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
