"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"9","56556.904000","0.066000","localhost ()","remote ()","ATT","14","Sent Write Request, Handle: 0x0027 (Unknown)"
"11","56557.115000","0.148000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0027 (Unknown)"
"12","56557.116000","0.001000","localhost ()","remote ()","ATT","15","Sent Write Request, Handle: 0x0029 (Unknown)"
"13","56557.119000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"15","56557.162000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"19","56557.207000","0.006000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0029 (Unknown)"
"46","56559.378000","0.014000","localhost ()","remote ()","ATT","14","Sent Write Request, Handle: 0x0027 (Unknown)"
"49","56559.861000","0.228000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0027 (Unknown)"
"50","56559.863000","0.002000","localhost ()","remote ()","ATT","15","Sent Write Request, Handle: 0x0029 (Unknown)"
"51","56559.867000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"52","56559.933000","0.066000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"56","56559.952000","0.015000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0029 (Unknown)"
"57","56559.955000","0.003000","localhost ()","remote ()","ATT","15","Sent Write Command, Handle: 0x0053 (Unknown)"
"58","56559.958000","0.003000","localhost ()","remote ()","ATT","21","Sent Write Command, Handle: 0x0053 (Unknown)"
"60","56559.998000","0.028000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"61","56559.998000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"62","56560.041000","0.043000","remote ()","localhost ()","ATT","17","Rcvd Handle Value Notification, Handle: 0x0053 (Unknown)"
"63","56560.041000","0.000000","remote ()","localhost ()","ATT","15","Rcvd Handle Value Notification, Handle: 0x0053 (Unknown)"
"86","56562.383000","0.044000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"88","56562.966000","0.354000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"93","56563.383000","0.043000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"94","56563.539000","0.156000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"100","56564.382000","0.031000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"101","56564.437000","0.055000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"114","56565.383000","0.024000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"127","56565.759000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"278","56566.383000","0.023000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"282","56566.663000","0.029000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"294","56567.383000","0.014000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"298","56567.575000","0.029000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"306","56568.383000","0.209000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"309","56568.606000","0.156000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"313","56569.382000","0.022000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"315","56569.446000","0.044000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"316","56569.596000","0.150000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"318","56570.211000","0.538000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"320","56570.380000","0.146000","localhost ()","remote ()","ATT","13","Sent Write Request, Handle: 0x0029 (Unknown)"
"322","56570.751000","0.324000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"324","56570.795000","0.044000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0029 (Unknown)"
"325","56570.798000","0.003000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"326","56570.991000","0.193000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"327","56571.020000","0.029000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"329","56571.382000","0.219000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"330","56571.426000","0.044000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"331","56571.428000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"334","56571.831000","0.102000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"335","56572.236000","0.405000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"337","56572.382000","0.085000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"340","56572.642000","0.005000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"341","56572.669000","0.027000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"346","56573.046000","0.085000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"349","56573.383000","0.168000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"351","56573.452000","0.024000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"352","56573.536000","0.084000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"360","56574.215000","0.082000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"361","56574.382000","0.167000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"364","56574.621000","0.190000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"365","56574.772000","0.151000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"366","56575.026000","0.254000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"368","56575.383000","0.025000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"369","56575.430000","0.047000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"371","56575.582000","0.152000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"430","56575.836000","0.004000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"525","56576.383000","0.353000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"527","56576.646000","0.211000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"528","56576.668000","0.022000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"531","56577.095000","0.399000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"532","56577.383000","0.288000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"534","56577.457000","0.021000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"535","56577.579000","0.122000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"538","56577.816000","0.217000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"540","56578.220000","0.063000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"542","56578.382000","0.117000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"546","56578.626000","0.130000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"547","56578.733000","0.107000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"549","56579.031000","0.298000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"552","56579.382000","0.304000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"553","56579.435000","0.053000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"554","56579.460000","0.025000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"557","56579.841000","0.211000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"559","56580.246000","0.288000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"560","56580.383000","0.137000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"564","56580.605000","0.029000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"565","56580.756000","0.151000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"566","56580.834000","0.078000","localhost ()","remote ()","ATT","13","Sent Write Request, Handle: 0x0029 (Unknown)"
"568","56581.134000","0.108000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
