"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"1430","366655.488000","0.001000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"1441","366655.514000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"1444","366655.525000","0.000000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"1445","366655.525000","0.000000","host","controller","HCI_CMD","6","Sent LE Read Remote Features"
"1458","366655.705000","0.000000","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Read Remote Features Complete)"
"1459","366655.707000","0.002000","localhost ()","5b:32:2e:6d:02:e3 (BPM Connect E4)","L2CAP","16","Sent "
"1460","366655.710000","0.003000","localhost ()","5b:32:2e:6d:02:e3 (BPM Connect E4)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 185"
"1461","366655.735000","0.025000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1462","366655.735000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1463","366655.765000","0.030000","5b:32:2e:6d:02:e3 (BPM Connect E4)","localhost ()","L2CAP","19","Rcvd Command Reject"
"1464","366655.765000","0.000000","5b:32:2e:6d:02:e3 (BPM Connect E4)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 185"
"1465","366655.765000","0.000000","localhost ()","5b:32:2e:6d:02:e3 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff"
"1466","366655.817000","0.052000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1469","366655.825000","0.008000","5b:32:2e:6d:02:e3 (BPM Connect E4)","localhost ()","ATT","17","Rcvd Read By Group Type Response, Attribute List Length: 1, Generic Attribute Profile"
"1470","366655.825000","0.000000","localhost ()","5b:32:2e:6d:02:e3 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0005..0xffff"
"1476","366655.875000","0.025000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1478","366655.885000","0.010000","5b:32:2e:6d:02:e3 (BPM Connect E4)","localhost ()","ATT","17","Rcvd Read By Group Type Response, Attribute List Length: 1, Generic Access Profile"
"1479","366655.885000","0.000000","localhost ()","5b:32:2e:6d:02:e3 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x000a..0xffff"
"1480","366655.942000","0.057000","5b:32:2e:6d:02:e3 (BPM Connect E4)","localhost ()","ATT","31","Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown"
"1481","366655.942000","0.000000","localhost ()","5b:32:2e:6d:02:e3 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x000e..0xffff"
"1482","366655.945000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1483","366656.002000","0.057000","5b:32:2e:6d:02:e3 (BPM Connect E4)","localhost ()","ATT","14","Rcvd Error Response - Attribute Not Found, Handle: 0x000e (Unknown: Unknown)"
"1484","366656.002000","0.000000","localhost ()","5b:32:2e:6d:02:e3 (BPM Connect E4)","ATT","16","Sent Read By Type Request, Device Name, Handles: 0x0005..0x0009"
"1485","366656.005000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1486","366656.063000","0.058000","5b:32:2e:6d:02:e3 (BPM Connect E4)","localhost ()","ATT","28","Rcvd Read By Type Response, Attribute List Length: 1"
"1487","366656.063000","0.000000","localhost ()","5b:32:2e:6d:02:e3 (BPM Connect E4)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0001..0x0004"
"1488","366656.067000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1489","366656.119000","0.052000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1492","366656.123000","0.001000","5b:32:2e:6d:02:e3 (BPM Connect E4)","localhost ()","ATT","18","Rcvd Read By Type Response, Attribute List Length: 1, Service Changed"
