"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"690","332316.546000","0.000000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"704","332316.591000","0.000000","host","controller","HCI_CMD","32","Sent LE Start Encryption"
"712","332316.597000","0.002000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"714","332316.597000","0.000000","host","controller","HCI_CMD","18","Sent LE Connection Update"
"748","332317.633000","0.081000","controller","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"762","332317.844000","0.000000","controller","host","HCI_EVT","7","Rcvd Encryption Change"
"763","332317.844000","0.000000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"764","332317.844000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"767","332317.848000","0.000000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"769","332317.851000","0.000000","host","controller","HCI_CMD","6","Sent LE Read Remote Features"
"772","332317.875000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"774","332317.904000","0.001000","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Read Remote Features Complete)"
"775","332317.905000","0.001000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","L2CAP","16","Sent "
"776","332317.907000","0.002000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 185"
"777","332317.935000","0.028000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"778","332317.935000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"779","332317.964000","0.029000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","L2CAP","19","Rcvd Command Reject"
"780","332317.964000","0.000000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 135"
"789","332317.964000","0.000000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","14","Sent Write Request, Handle: 0x0004 (Unknown)"
"790","332318.023000","0.059000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0004 (Unknown)"
"799","332318.026000","0.001000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","14","Sent Write Request, Handle: 0x000d (Unknown)"
"800","332318.029000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"801","332318.083000","0.054000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000d (Unknown)"
"802","332318.086000","0.003000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","32","Sent Write Request, Handle: 0x000c (Unknown)"
"803","332318.089000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"808","332318.140000","0.043000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"810","332318.146000","0.006000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"811","332318.146000","0.000000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #812]"
"812","332318.147000","0.001000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","29","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"813","332318.152000","0.005000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","91","Sent Write Request, Handle: 0x000c (Unknown)"
"818","332318.203000","0.034000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"819","332318.205000","0.002000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #822]"
"820","332318.205000","0.000000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #819] [Reassembled in #822]"
"821","332318.205000","0.000000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #819] [Reassembled in #822]"
"822","332318.206000","0.001000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","15","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"823","332318.225000","0.019000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","17","Sent Write Request, Handle: 0x000c (Unknown)"
"824","332318.227000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"825","332318.264000","0.037000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"826","332318.264000","0.000000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","23","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"827","332318.275000","0.011000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","17","Sent Write Request, Handle: 0x000c (Unknown)"
"828","332318.279000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"829","332318.323000","0.044000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"830","332318.325000","0.002000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","23","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"831","332318.339000","0.014000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","17","Sent Write Request, Handle: 0x000c (Unknown)"
"832","332318.342000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"833","332318.385000","0.043000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"834","332318.385000","0.000000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"835","332318.391000","0.006000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"856","332319.135000","0.105000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","26","Sent Write Request, Handle: 0x000c (Unknown)"
"857","332319.193000","0.058000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"858","332319.299000","0.106000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"863","332319.374000","0.052000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"864","332319.376000","0.002000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","85","Sent Write Request, Handle: 0x000c (Unknown)"
"865","332319.433000","0.057000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"866","332319.435000","0.002000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","85","Sent Write Request, Handle: 0x000c (Unknown)"
"867","332319.438000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"868","332319.493000","0.055000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"869","332319.495000","0.002000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","85","Sent Write Request, Handle: 0x000c (Unknown)"
"870","332319.498000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"871","332319.553000","0.055000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"872","332319.556000","0.003000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","85","Sent Write Request, Handle: 0x000c (Unknown)"
"873","332319.559000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"874","332319.614000","0.055000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"875","332319.615000","0.001000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","85","Sent Write Request, Handle: 0x000c (Unknown)"
"876","332319.618000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"878","332319.674000","0.056000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
