"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"6028","113091.195000","0.000000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"6037","113091.223000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"6046","113091.267000","0.015000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"6048","113091.271000","0.004000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 185"
"6049","113091.301000","0.030000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6052","113091.326000","0.004000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 23"
"6053","113091.326000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff"
"6054","113091.365000","0.039000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6057","113091.387000","0.021000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","23","Rcvd Read By Group Type Response, Attribute List Length: 2, Generic Access Profile, Generic Attribute Profile"
"6058","113091.387000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0010..0xffff"
"6063","113091.430000","0.028000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6066","113091.446000","0.016000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","31","Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown"
"6067","113091.446000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0016..0xffff"
"6070","113091.475000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6071","113091.504000","0.029000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","17","Rcvd Read By Group Type Response, Attribute List Length: 1, Device Information"
"6072","113091.504000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x000c..0x000f"
"6075","113091.543000","0.020000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6079","113091.566000","0.008000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","18","Rcvd Read By Type Response, Attribute List Length: 1, Service Changed"
"6080","113091.566000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","14","Sent Find Information Request, Handles: 0x000f..0x000f"
"6083","113091.624000","0.034000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","15","Rcvd Find Information Response, Handle: 0x000f (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"6084","113091.625000","0.001000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","14","Sent Write Request, Handle: 0x000f (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"6085","113091.627000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6090","113091.665000","0.025000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6094","113091.685000","0.018000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000f (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"6103","113091.687000","0.002000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0010..0x0015"
"6108","113091.766000","0.055000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","32","Rcvd Read By Type Response, Attribute List Length: 1, Unknown"
"6109","113091.766000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0013..0x0015"
"6110","113091.768000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6114","113091.812000","0.040000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6116","113091.828000","0.016000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","32","Rcvd Read By Type Response, Attribute List Length: 1, Unknown"
"6117","113091.828000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0016..0xffff"
"6121","113091.862000","0.020000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6128","113091.887000","0.011000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","32","Rcvd Read By Type Response, Attribute List Length: 3, System ID, Model Number String, Serial Number String"
"6129","113091.887000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x001d..0xffff"
"6132","113091.946000","0.034000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","32","Rcvd Read By Type Response, Attribute List Length: 3, Firmware Revision String, Hardware Revision String, Software Revision String"
"6133","113091.946000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0023..0xffff"
"6134","113091.948000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6139","113091.984000","0.010000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6141","113092.008000","0.024000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","32","Rcvd Read By Type Response, Attribute List Length: 3, Manufacturer Name String, IEEE 11073-20601 Regulatory Certification Data List, PnP ID"
"6142","113092.008000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0029..0xffff"
