"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"354","711695.561000","0.005000","localhost ()","remote ()","L2CAP","212","Sent Connection oriented channel"
"355","711695.561000","0.000000","localhost ()","remote ()","L2CAP","80","Sent Connection oriented channel"
"356","711695.575000","0.014000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"357","711695.575000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"359","711695.603000","0.014000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"360","711695.603000","0.000000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"361","711695.603000","0.000000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"362","711695.604000","0.001000","localhost ()","remote ()","L2CAP","80","Sent Connection oriented channel"
"363","711695.692000","0.088000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"364","711695.704000","0.012000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"365","711695.704000","0.000000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"366","711695.708000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"367","711695.723000","0.015000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"368","711695.723000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"552","711703.013000","0.171000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #555]"
"553","711703.014000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #552] [Reassembled in #555]"
"554","711703.016000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #552] [Reassembled in #555]"
"555","711703.016000","0.000000","remote ()","localhost ()","L2CAP","39","Rcvd Connection oriented channel"
"556","711703.017000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"557","711703.019000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #564]"
"558","711703.036000","0.017000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"559","711703.045000","0.009000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #557] [Reassembled in #564]"
"560","711703.045000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #557] [Reassembled in #564]"
"561","711703.045000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"562","711703.045000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"563","711703.046000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #557] [Reassembled in #564]"
"564","711703.048000","0.002000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"565","711703.074000","0.026000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #568]"
"566","711703.074000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #565] [Reassembled in #568]"
"567","711703.102000","0.028000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #565] [Reassembled in #568]"
"568","711703.103000","0.001000","remote ()","localhost ()","L2CAP","243","Rcvd Connection oriented channel"
"569","711703.104000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #572]"
"570","711703.104000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #569] [Reassembled in #572]"
"571","711703.104000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #569] [Reassembled in #572]"
"572","711703.104000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"573","711703.105000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #580]"
"574","711703.108000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #573] [Reassembled in #580]"
"575","711703.109000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #573] [Reassembled in #580]"
"577","711703.118000","0.005000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"579","711703.136000","0.013000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #573] [Reassembled in #580]"
"580","711703.136000","0.000000","remote ()","localhost ()","L2CAP","24","Rcvd Connection oriented channel"
"581","711703.136000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"582","711703.136000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"583","711703.136000","0.000000","localhost ()","remote ()","L2CAP","92","Sent Connection oriented channel"
"584","711703.140000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"585","711703.140000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"586","711703.144000","0.004000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #590]"
"587","711703.144000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #586] [Reassembled in #590]"
"588","711703.144000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #586] [Reassembled in #590]"
"589","711703.144000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #586] [Reassembled in #590]"
