"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"215","714036.216000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #219]"
"218","714036.218000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #215] [Reassembled in #219]"
"219","714036.218000","0.000000","remote ()","localhost ()","L2CAP","130","Rcvd Connection oriented channel"
"220","714036.220000","0.002000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"221","714036.221000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #230]"
"223","714036.223000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #221] [Reassembled in #230]"
"225","714036.238000","0.004000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"226","714036.249000","0.011000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #221] [Reassembled in #230]"
"227","714036.249000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"228","714036.249000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"229","714036.250000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #221] [Reassembled in #230]"
"230","714036.250000","0.000000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"231","714036.252000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #232]"
"232","714036.278000","0.026000","remote ()","localhost ()","L2CAP","185","Rcvd Connection oriented channel"
"233","714036.278000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #239]"
"234","714036.278000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #237]"
"235","714036.279000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #234] [Reassembled in #237]"
"236","714036.279000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #234] [Reassembled in #237]"
"237","714036.279000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"238","714036.280000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #233] [Reassembled in #239]"
"239","714036.280000","0.000000","remote ()","localhost ()","L2CAP","18","Rcvd Connection oriented channel"
"240","714036.280000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"241","714036.308000","0.028000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"242","714036.308000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"243","714036.311000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"244","714036.311000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"245","714036.322000","0.011000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"246","714036.326000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"247","714036.329000","0.003000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #248]"
"248","714036.329000","0.000000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"249","714036.329000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #253]"
"250","714036.329000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #249] [Reassembled in #253]"
"251","714036.329000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #249] [Reassembled in #253]"
"252","714036.329000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #249] [Reassembled in #253]"
"253","714036.329000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"254","714036.329000","0.000000","localhost ()","remote ()","L2CAP","155","Sent Connection oriented channel"
"255","714036.329000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #256]"
"256","714036.329000","0.000000","localhost ()","remote ()","L2CAP","157","Sent Connection oriented channel"
"257","714036.336000","0.007000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"258","714036.336000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"259","714036.338000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"260","714036.340000","0.002000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"261","714036.340000","0.000000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"262","714036.340000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"263","714036.340000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"264","714036.341000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #267]"
"265","714036.341000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #264] [Reassembled in #267]"
"266","714036.341000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #264] [Reassembled in #267]"
"267","714036.341000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"268","714036.344000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"269","714036.368000","0.024000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"270","714036.368000","0.000000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"271","714036.369000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"272","714036.369000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"273","714036.369000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"274","714036.373000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"275","714036.373000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"276","714036.379000","0.006000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #277]"
"277","714036.379000","0.000000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"278","714036.383000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"279","714036.399000","0.016000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"280","714036.399000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"281","714036.399000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"282","714036.400000","0.001000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"283","714036.400000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"284","714036.400000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"285","714036.428000","0.028000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"286","714036.428000","0.000000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"287","714036.428000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"288","714036.428000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"289","714036.428000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"290","714036.437000","0.009000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"291","714036.458000","0.021000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"292","714036.458000","0.000000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"293","714036.458000","0.000000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"294","714036.458000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #295]"
"295","714036.458000","0.000000","localhost ()","remote ()","L2CAP","127","Sent Connection oriented channel"
"296","714036.461000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"303","714036.487000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"304","714036.487000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"306","714036.517000","0.029000","remote ()","localhost ()","L2CAP","92","Rcvd Connection oriented channel"
"307","714036.517000","0.000000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"308","714036.517000","0.000000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"309","714036.518000","0.001000","localhost ()","remote ()","L2CAP","141","Sent Connection oriented channel"
"311","714036.561000","0.036000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"313","714036.577000","0.016000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"314","714036.590000","0.013000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"315","714036.600000","0.010000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #316]"
"316","714036.600000","0.000000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"317","714036.607000","0.007000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"318","714036.607000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"319","714036.665000","0.058000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"320","714036.666000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #321]"
"321","714036.666000","0.000000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"322","714036.666000","0.000000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"323","714036.667000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"324","714036.668000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"325","714036.726000","0.058000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
