"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"12","201397.254000","0.199000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #15]"
"13","201397.255000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #12] [Reassembled in #15]"
"14","201397.256000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #12] [Reassembled in #15]"
"15","201397.258000","0.002000","remote ()","localhost ()","L2CAP","215","Rcvd Connection oriented channel"
"16","201397.261000","0.003000","localhost ()","remote ()","L2CAP","80","Sent Connection oriented channel"
"17","201397.275000","0.014000","localhost ()","remote ()","L2CAP","88","Sent Connection oriented channel"
"18","201397.285000","0.010000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"19","201397.285000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"20","201397.313000","0.028000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"22","201397.359000","0.035000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"25","201397.405000","0.015000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"26","201397.554000","0.149000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"27","201397.615000","0.061000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #31]"
"28","201397.617000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #27] [Reassembled in #31]"
"29","201397.619000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #27] [Reassembled in #31]"
"30","201397.619000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #27] [Reassembled in #31]"
"31","201397.619000","0.000000","remote ()","localhost ()","L2CAP","8","Rcvd Connection oriented channel"
"32","201397.620000","0.001000","localhost ()","remote ()","L2CAP","80","Sent Connection oriented channel"
"33","201397.626000","0.006000","localhost ()","remote ()","L2CAP","88","Sent Connection oriented channel"
"34","201397.646000","0.020000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"35","201397.646000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"37","201397.676000","0.011000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"39","201397.720000","0.031000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"40","201397.764000","0.044000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"41","201397.914000","0.150000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"335","201407.605000","0.132000","remote ()","localhost ()","L2CAP","248","Rcvd Connection oriented channel"
"336","201407.606000","0.001000","localhost ()","remote ()","L2CAP","80","Sent Connection oriented channel"
"337","201407.606000","0.000000","remote ()","localhost ()","L2CAP","113","Rcvd Connection oriented channel"
"338","201407.613000","0.007000","localhost ()","remote ()","L2CAP","88","Sent Connection oriented channel"
"339","201407.621000","0.008000","localhost ()","remote ()","L2CAP","146","Sent Connection oriented channel"
