"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"44","712247.216000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #94]"
"47","712247.218000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #44] [Reassembled in #94]"
"94","712247.308000","0.005000","remote ()","localhost ()","L2CAP","170","Rcvd Connection oriented channel"
"97","712247.309000","0.001000","localhost ()","remote ()","L2CAP","88","Sent Connection oriented channel"
"110","712247.338000","0.005000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"116","712247.347000","0.000000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"118","712247.367000","0.017000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"119","712247.367000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #123]"
"120","712247.368000","0.001000","localhost ()","remote ()","L2CAP","80","Sent Connection oriented channel"
"121","712247.368000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #119] [Reassembled in #123]"
"122","712247.370000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"123","712247.371000","0.001000","remote ()","localhost ()","L2CAP","166","Rcvd Connection oriented channel"
"124","712247.372000","0.001000","localhost ()","remote ()","L2CAP","88","Sent Connection oriented channel"
"126","712247.398000","0.012000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"127","712247.398000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"128","712247.408000","0.010000","localhost ()","remote ()","L2CAP","88","Sent Connection oriented channel"
"129","712247.428000","0.020000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"130","712247.428000","0.000000","remote ()","localhost ()","L2CAP","15","Rcvd Connection oriented channel"
"131","712247.429000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"132","712247.429000","0.000000","remote ()","localhost ()","L2CAP","244","Rcvd Connection oriented channel"
"133","712247.430000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"134","712247.444000","0.014000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #138]"
"135","712247.444000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #134] [Reassembled in #138]"
"136","712247.444000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #134] [Reassembled in #138]"
"137","712247.444000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #134] [Reassembled in #138]"
"138","712247.444000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"139","712247.444000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #143]"
"140","712247.444000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #139] [Reassembled in #143]"
"141","712247.444000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #139] [Reassembled in #143]"
"142","712247.444000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #139] [Reassembled in #143]"
"143","712247.444000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"144","712247.444000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #150]"
"145","712247.445000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #144] [Reassembled in #150]"
"146","712247.445000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #144] [Reassembled in #150]"
"147","712247.445000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #144] [Reassembled in #150]"
"148","712247.457000","0.012000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"149","712247.457000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"150","712247.457000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"151","712247.458000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"152","712247.459000","0.001000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"153","712247.460000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"154","712247.460000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #157]"
"155","712247.460000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #154] [Reassembled in #157]"
"156","712247.463000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"157","712247.463000","0.000000","localhost ()","remote ()","L2CAP","134","Sent Connection oriented channel"
"158","712247.463000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"159","712247.489000","0.026000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"160","712247.489000","0.000000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"161","712247.489000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"162","712247.489000","0.000000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"163","712247.492000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"164","712247.492000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #165]"
"165","712247.492000","0.000000","localhost ()","remote ()","L2CAP","7","Sent Connection oriented channel"
"166","712247.492000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"167","712247.495000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"168","712247.512000","0.017000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #175]"
"169","712247.512000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #168] [Reassembled in #175]"
"170","712247.519000","0.007000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"171","712247.519000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #168] [Reassembled in #175]"
"172","712247.519000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"173","712247.519000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #168] [Reassembled in #175]"
"174","712247.522000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"175","712247.522000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"176","712247.522000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"177","712247.525000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"178","712247.525000","0.000000","localhost ()","remote ()","L2CAP","14","Sent Connection oriented channel"
"179","712247.548000","0.023000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"180","712247.550000","0.002000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"181","712247.550000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"182","712247.550000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"185","712247.578000","0.018000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"186","712247.580000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"187","712247.580000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"188","712247.607000","0.027000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"189","712247.607000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"190","712247.607000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"191","712247.610000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"192","712247.610000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"193","712247.611000","0.001000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"194","712247.614000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"195","712247.614000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"198","712247.640000","0.008000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"199","712247.640000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"200","712247.641000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"201","712247.641000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"202","712247.667000","0.026000","remote ()","localhost ()","L2CAP","14","Rcvd Connection oriented channel"
"215","712247.772000","0.001000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
