"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"90","197820.932000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #94]"
"91","197820.933000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #90] [Reassembled in #94]"
"94","197820.934000","0.000000","remote ()","localhost ()","L2CAP","130","Rcvd Connection oriented channel"
"95","197820.935000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"96","197820.936000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #115]"
"97","197820.936000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #96] [Reassembled in #115]"
"106","197820.953000","0.003000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"111","197820.962000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #96] [Reassembled in #115]"
"112","197820.963000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"113","197820.963000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"114","197820.964000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #96] [Reassembled in #115]"
"115","197820.964000","0.000000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"118","197820.968000","0.004000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #131]"
"131","197820.993000","0.004000","remote ()","localhost ()","L2CAP","185","Rcvd Connection oriented channel"
"133","197820.993000","0.000000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"135","197820.993000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #138]"
"136","197820.993000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #135] [Reassembled in #138]"
"137","197820.993000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #135] [Reassembled in #138]"
"138","197820.993000","0.000000","localhost ()","remote ()","L2CAP","204","Sent Connection oriented channel"
"151","197821.021000","0.004000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #163]"
"154","197821.023000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #151] [Reassembled in #163]"
"155","197821.024000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #159]"
"156","197821.024000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #155] [Reassembled in #159]"
"157","197821.024000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #155] [Reassembled in #159]"
