"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"183","198625.117000","0.124000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #185]"
"184","198625.118000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #183] [Reassembled in #185]"
"185","198625.119000","0.001000","remote ()","localhost ()","L2CAP","130","Rcvd Connection oriented channel"
"186","198625.120000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"187","198625.121000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #194]"
"188","198625.122000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #187] [Reassembled in #194]"
"189","198625.138000","0.016000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"190","198625.149000","0.011000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #187] [Reassembled in #194]"
"191","198625.149000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"192","198625.149000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"193","198625.151000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #187] [Reassembled in #194]"
"194","198625.151000","0.000000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"195","198625.153000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #197]"
"196","198625.178000","0.025000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #195] [Reassembled in #197]"
"197","198625.178000","0.000000","remote ()","localhost ()","L2CAP","46","Rcvd Connection oriented channel"
"198","198625.178000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #205]"
"199","198625.179000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #202]"
"200","198625.179000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #199] [Reassembled in #202]"
"201","198625.179000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #199] [Reassembled in #202]"
"202","198625.179000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"203","198625.179000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"204","198625.180000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #198] [Reassembled in #205]"
"205","198625.181000","0.001000","remote ()","localhost ()","L2CAP","18","Rcvd Connection oriented channel"
"206","198625.182000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"208","198625.211000","0.008000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"209","198625.211000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"210","198625.211000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"211","198625.220000","0.009000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"212","198625.223000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"213","198625.225000","0.002000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #217]"
"214","198625.225000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #213] [Reassembled in #217]"
"215","198625.225000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #213] [Reassembled in #217]"
"216","198625.225000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #213] [Reassembled in #217]"
"217","198625.225000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"218","198625.225000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #220]"
"219","198625.225000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #218] [Reassembled in #220]"
"220","198625.225000","0.000000","localhost ()","remote ()","L2CAP","50","Sent Connection oriented channel"
"221","198625.228000","0.003000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #222]"
"222","198625.228000","0.000000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"223","198625.239000","0.011000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"224","198625.239000","0.000000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"225","198625.239000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"226","198625.239000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"227","198625.239000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"228","198625.244000","0.005000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"229","198625.244000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"230","198625.268000","0.024000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"231","198625.268000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"232","198625.268000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"233","198625.269000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #236]"
"234","198625.269000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #233] [Reassembled in #236]"
"235","198625.269000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #233] [Reassembled in #236]"
"236","198625.269000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"237","198625.269000","0.000000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"238","198625.271000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"239","198625.273000","0.002000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"240","198625.273000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"241","198625.273000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"242","198625.298000","0.025000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"243","198625.298000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"244","198625.298000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"245","198625.301000","0.003000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"246","198625.301000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"247","198625.301000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"248","198625.302000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #249]"
"249","198625.302000","0.000000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"250","198625.304000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"251","198625.328000","0.024000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"252","198625.328000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"253","198625.328000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"254","198625.329000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"255","198625.330000","0.001000","remote ()","localhost ()","L2CAP","92","Rcvd Connection oriented channel"
"256","198625.330000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"257","198625.332000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"258","198625.340000","0.008000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"259","198625.359000","0.019000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"260","198625.359000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"261","198625.359000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"262","198625.359000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"263","198625.359000","0.000000","localhost ()","remote ()","L2CAP","248","Sent Connection oriented channel"
"264","198625.389000","0.030000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"265","198625.389000","0.000000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"266","198625.389000","0.000000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"267","198625.389000","0.000000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"268","198625.389000","0.000000","localhost ()","remote ()","L2CAP","141","Sent Connection oriented channel"
"269","198625.392000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"270","198625.446000","0.054000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"271","198625.447000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"272","198625.450000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"273","198625.460000","0.010000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"274","198625.507000","0.047000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"275","198625.510000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"276","198625.510000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"277","198625.656000","0.146000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"489","198631.747000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #491]"
"490","198631.748000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #489] [Reassembled in #491]"
"491","198631.750000","0.002000","remote ()","localhost ()","L2CAP","130","Rcvd Connection oriented channel"
"492","198631.751000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"495","198631.769000","0.002000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"497","198631.778000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"498","198631.803000","0.025000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"500","198631.809000","0.006000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #504]"
"501","198631.809000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #500] [Reassembled in #504]"
"502","198631.812000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #500] [Reassembled in #504]"
"503","198631.812000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #500] [Reassembled in #504]"
"504","198631.814000","0.002000","remote ()","localhost ()","L2CAP","216","Rcvd Connection oriented channel"
"505","198631.815000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #508]"
"506","198631.815000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #505] [Reassembled in #508]"
"507","198631.815000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #505] [Reassembled in #508]"
"508","198631.815000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"509","198631.838000","0.023000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"510","198631.838000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"511","198631.839000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"512","198631.841000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"513","198631.841000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"514","198631.841000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #518]"
"515","198631.841000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #514] [Reassembled in #518]"
"516","198631.841000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #514] [Reassembled in #518]"
"517","198631.841000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #514] [Reassembled in #518]"
"518","198631.842000","0.001000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"519","198631.842000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #521]"
"520","198631.842000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #519] [Reassembled in #521]"
"521","198631.842000","0.000000","localhost ()","remote ()","L2CAP","42","Sent Connection oriented channel"
"522","198631.852000","0.010000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"523","198631.870000","0.018000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"524","198631.870000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"525","198631.870000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"526","198631.873000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"527","198631.873000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"528","198631.899000","0.026000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"529","198631.899000","0.000000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"530","198631.900000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"531","198631.900000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"532","198631.900000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"533","198631.902000","0.002000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"534","198631.904000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"535","198631.929000","0.025000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"536","198631.929000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"537","198631.958000","0.029000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"538","198631.959000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"539","198631.962000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"540","198631.971000","0.009000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"541","198631.989000","0.018000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"542","198631.989000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"543","198632.018000","0.029000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"544","198632.018000","0.000000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"545","198632.019000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"546","198632.049000","0.030000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"550","198632.110000","0.052000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #551]"
"551","198632.111000","0.001000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"552","198632.120000","0.009000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"553","198632.196000","0.076000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"554","198632.199000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"555","198632.199000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
