"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"8","200051.736000","0.007000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #12]"
"9","200051.736000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #8] [Reassembled in #12]"
"10","200051.736000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #8] [Reassembled in #12]"
"11","200051.736000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #8] [Reassembled in #12]"
"12","200051.736000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"13","200051.736000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #17]"
"14","200051.736000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #13] [Reassembled in #17]"
"15","200051.736000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #13] [Reassembled in #17]"
"16","200051.736000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #13] [Reassembled in #17]"
"17","200051.736000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"18","200051.746000","0.010000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"19","200051.747000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"20","200051.747000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"21","200051.747000","0.000000","localhost ()","remote ()","L2CAP","14","Sent Connection oriented channel"
"22","200051.749000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"23","200051.749000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"24","200051.777000","0.028000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"25","200051.777000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"26","200051.777000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
