"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"317","711782.164000","0.026000","localhost ()","remote ()","L2CAP","13","Sent Connection oriented channel"
"318","711782.238000","0.074000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"320","711782.243000","0.005000","remote ()","localhost ()","L2CAP","14","Rcvd Connection oriented channel"
"324","711782.345000","0.009000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"331","711782.471000","0.028000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"856","711794.274000","0.073000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #860]"
"857","711794.276000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #856] [Reassembled in #860]"
"858","711794.278000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #856] [Reassembled in #860]"
"859","711794.278000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #856] [Reassembled in #860]"
"860","711794.280000","0.002000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"861","711794.303000","0.023000","remote ()","localhost ()","L2CAP","119","Rcvd Connection oriented channel"
"862","711794.305000","0.002000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"863","711794.334000","0.029000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"864","711794.338000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"865","711794.367000","0.029000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #869]"
"866","711794.367000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #865] [Reassembled in #869]"
"867","711794.369000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #865] [Reassembled in #869]"
"868","711794.369000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #865] [Reassembled in #869]"
"869","711794.369000","0.000000","remote ()","localhost ()","L2CAP","24","Rcvd Connection oriented channel"
"870","711794.369000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #873]"
"871","711794.369000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #870] [Reassembled in #873]"
"872","711794.369000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #870] [Reassembled in #873]"
"873","711794.369000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"874","711794.371000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"875","711794.380000","0.009000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"876","711794.388000","0.008000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #880]"
"877","711794.388000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #876] [Reassembled in #880]"
"878","711794.388000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #876] [Reassembled in #880]"
"879","711794.388000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #876] [Reassembled in #880]"
"880","711794.388000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"881","711794.388000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #883]"
"882","711794.388000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #881] [Reassembled in #883]"
"883","711794.388000","0.000000","localhost ()","remote ()","L2CAP","42","Sent Connection oriented channel"
"884","711794.397000","0.009000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"885","711794.397000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"886","711794.397000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"887","711794.399000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"888","711794.399000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"889","711794.399000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"890","711794.426000","0.027000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"891","711794.426000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"892","711794.426000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"893","711794.428000","0.002000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"894","711794.428000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"895","711794.428000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"896","711794.429000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"898","711794.455000","0.011000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"899","711794.455000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"900","711794.455000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"901","711794.460000","0.005000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"902","711794.460000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"903","711794.485000","0.025000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"904","711794.498000","0.013000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"905","711794.501000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"907","711794.514000","0.008000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"908","711794.514000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"909","711794.516000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"910","711794.573000","0.057000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"911","711794.574000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"912","711794.575000","0.001000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"913","711794.577000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"914","711794.615000","0.038000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"915","711794.618000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"917","711794.695000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"934","711794.723000","0.004000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"1130","711797.083000","0.111000","localhost ()","remote ()","L2CAP","165","Sent Connection oriented channel"
"1131","711797.153000","0.070000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"1132","711797.155000","0.002000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"1133","711797.155000","0.000000","remote ()","localhost ()","L2CAP","100","Rcvd Connection oriented channel"
"1134","711797.155000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"1135","711797.157000","0.002000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"1136","711797.157000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1137","711797.157000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"1139","711797.186000","0.006000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1140","711797.186000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1144","711797.243000","0.018000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"1145","711797.254000","0.011000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"1146","711797.422000","0.168000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1508","711807.983000","0.146000","remote ()","localhost ()","L2CAP","100","Rcvd Connection oriented channel"
"1509","711807.984000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"1510","711807.985000","0.001000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"1511","711807.986000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"1512","711808.014000","0.028000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1513","711808.014000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1514","711808.035000","0.021000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"1515","711808.073000","0.038000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"1516","711808.073000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1518","711808.085000","0.012000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"1519","711808.116000","0.031000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1522","711808.133000","0.015000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"1549","711810.173000","0.062000","remote ()","localhost ()","L2CAP","100","Rcvd Connection oriented channel"
"1550","711810.174000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"1551","711810.175000","0.001000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"1552","711810.176000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"1555","711810.205000","0.008000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1556","711810.205000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1558","711810.218000","0.005000","localhost ()","remote ()","L2CAP","165","Sent Connection oriented channel"
"1560","711810.255000","0.033000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1562","711810.263000","0.008000","remote ()","localhost ()","L2CAP","64","Rcvd Connection oriented channel"
"1563","711810.288000","0.025000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"1564","711810.322000","0.034000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"1565","711810.442000","0.120000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1592","711812.366000","0.013000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #1596]"
"1593","711812.366000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #1592] [Reassembled in #1596]"
"1594","711812.368000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #1592] [Reassembled in #1596]"
"1595","711812.368000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #1592] [Reassembled in #1596]"
"1596","711812.370000","0.002000","remote ()","localhost ()","L2CAP","220","Rcvd Connection oriented channel"
"1597","711812.371000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"1598","711812.395000","0.024000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"1599","711812.398000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1600","711812.425000","0.027000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #1604]"
"1601","711812.425000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #1600] [Reassembled in #1604]"
"1602","711812.426000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #1600] [Reassembled in #1604]"
"1603","711812.428000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #1600] [Reassembled in #1604]"
"1604","711812.429000","0.001000","remote ()","localhost ()","L2CAP","24","Rcvd Connection oriented channel"
"1605","711812.430000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #1608]"
"1606","711812.430000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #1605] [Reassembled in #1608]"
"1607","711812.430000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #1605] [Reassembled in #1608]"
"1608","711812.430000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"1609","711812.432000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1610","711812.449000","0.017000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #1614]"
"1611","711812.449000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #1610] [Reassembled in #1614]"
"1612","711812.449000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #1610] [Reassembled in #1614]"
"1613","711812.449000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #1610] [Reassembled in #1614]"
"1614","711812.449000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"1615","711812.449000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #1617]"
"1616","711812.449000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #1615] [Reassembled in #1617]"
"1617","711812.449000","0.000000","localhost ()","remote ()","L2CAP","42","Sent Connection oriented channel"
"1618","711812.456000","0.007000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"1619","711812.456000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1620","711812.456000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1621","711812.458000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1622","711812.459000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1623","711812.485000","0.026000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"1624","711812.485000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1625","711812.485000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1626","711812.486000","0.001000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"1627","711812.486000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1628","711812.487000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"1629","711812.487000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1630","711812.489000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1631","711812.490000","0.001000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"1632","711812.515000","0.025000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"1633","711812.515000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1634","711812.515000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1635","711812.516000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1636","711812.516000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
