"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"37","715270.426000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #40]"
"38","715270.428000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #37] [Reassembled in #40]"
"39","715270.429000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #37] [Reassembled in #40]"
"40","715270.429000","0.000000","remote ()","localhost ()","L2CAP","39","Rcvd Connection oriented channel"
"41","715270.430000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"42","715270.432000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #49]"
"43","715270.447000","0.015000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"44","715270.458000","0.011000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #42] [Reassembled in #49]"
"45","715270.458000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"46","715270.458000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"47","715270.459000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #42] [Reassembled in #49]"
"48","715270.459000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #42] [Reassembled in #49]"
"49","715270.487000","0.028000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"50","715270.487000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #51]"
"51","715270.489000","0.002000","remote ()","localhost ()","L2CAP","89","Rcvd Connection oriented channel"
"52","715270.490000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #55]"
"53","715270.490000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #52] [Reassembled in #55]"
"54","715270.490000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #52] [Reassembled in #55]"
"55","715270.490000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"56","715270.491000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #71]"
"57","715270.491000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #56] [Reassembled in #71]"
"58","715270.519000","0.028000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #56] [Reassembled in #71]"
"59","715270.521000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #56] [Reassembled in #71]"
"60","715270.521000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"61","715270.521000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"62","715270.524000","0.003000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #66]"
"63","715270.524000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #62] [Reassembled in #66]"
"64","715270.524000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #62] [Reassembled in #66]"
"65","715270.524000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #62] [Reassembled in #66]"
"66","715270.525000","0.001000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"67","715270.525000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #69]"
"68","715270.525000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #67] [Reassembled in #69]"
"69","715270.525000","0.000000","localhost ()","remote ()","L2CAP","42","Sent Connection oriented channel"
"70","715270.531000","0.006000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"71","715270.549000","0.018000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"72","715270.549000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"73","715270.549000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"74","715270.551000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #76]"
"75","715270.552000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #74] [Reassembled in #76]"
"76","715270.577000","0.025000","remote ()","localhost ()","L2CAP","78","Rcvd Connection oriented channel"
"77","715270.577000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"78","715270.577000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"79","715270.578000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"80","715270.579000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #99]"
"81","715270.579000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"82","715270.582000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #80] [Reassembled in #99]"
"83","715270.610000","0.028000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"84","715270.610000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #80] [Reassembled in #99]"
"85","715270.610000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"86","715270.620000","0.010000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #90]"
"87","715270.620000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #86] [Reassembled in #90]"
"88","715270.620000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #86] [Reassembled in #90]"
"89","715270.620000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #86] [Reassembled in #90]"
"90","715270.620000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"91","715270.620000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #93]"
"92","715270.620000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #91] [Reassembled in #93]"
"93","715270.620000","0.000000","localhost ()","remote ()","L2CAP","42","Sent Connection oriented channel"
"94","715270.630000","0.010000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #95]"
"95","715270.631000","0.001000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"96","715270.639000","0.008000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #80] [Reassembled in #99]"
"97","715270.639000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"98","715270.639000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"99","715270.640000","0.001000","remote ()","localhost ()","L2CAP","24","Rcvd Connection oriented channel"
"100","715270.640000","0.000000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"101","715270.641000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"102","715270.641000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"103","715270.641000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"104","715270.642000","0.001000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"105","715270.649000","0.007000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"106","715270.668000","0.019000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"107","715270.668000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"108","715270.668000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"109","715270.669000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"110","715270.671000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"111","715270.671000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"112","715270.694000","0.023000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #116]"
"113","715270.694000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #112] [Reassembled in #116]"
"114","715270.694000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #112] [Reassembled in #116]"
"115","715270.694000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #112] [Reassembled in #116]"
"116","715270.695000","0.001000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"117","715270.697000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"118","715270.697000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"119","715270.697000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #122]"
"120","715270.697000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #119] [Reassembled in #122]"
"121","715270.700000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"122","715270.700000","0.000000","localhost ()","remote ()","L2CAP","42","Sent Connection oriented channel"
"123","715270.700000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"124","715270.702000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"125","715270.702000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"126","715270.704000","0.002000","remote ()","localhost ()","L2CAP","92","Rcvd Connection oriented channel"
"127","715270.704000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"128","715270.707000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"130","715270.727000","0.020000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
