"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"157","119683.641000","remote ()","0.197000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"158","119683.642000","localhost ()","0.001000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"159","119684.009000","controller","0.367000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1188","119713.611000","remote ()","0.090000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"1189","119713.611000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"1190","119713.801000","controller","0.190000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1194","119714.016000","remote ()","0.177000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"1195","119714.016000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"1196","119714.356000","controller","0.340000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1789","119727.362000","localhost ()","0.173000","remote ()","ATT","20","Sent Handle Value Notification, Handle: 0x0028 (Unknown)"
"1790","119727.516000","remote ()","0.154000","localhost ()","ATT","30","Rcvd Write Request, Handle: 0x0025 (Unknown)"
"1791","119727.520000","localhost ()","0.004000","remote ()","ATT","10","Sent Write Response, Handle: 0x0025 (Unknown)"
"1792","119727.521000","localhost ()","0.001000","remote ()","ATT","86","Sent Handle Value Notification, Handle: 0x002b (Unknown)"
"1793","119727.523000","controller","0.002000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1794","119727.781000","controller","0.258000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2320","119743.851000","remote ()","0.240000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"2321","119743.851000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"2322","119744.122000","remote ()","0.271000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"2323","119744.122000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"2324","119744.124000","controller","0.002000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2327","119744.476000","controller","0.289000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2641","119750.741000","localhost ()","0.141000","remote ()","ATT","20","Sent Handle Value Notification, Handle: 0x0028 (Unknown)"
"2661","119750.924000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"4148","119773.822000","remote ()","0.552000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"4149","119773.822000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"4150","119774.092000","remote ()","0.270000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"4151","119774.092000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"4152","119774.095000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"4155","119774.445000","controller","0.290000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"5277","119803.927000","remote ()","0.086000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"5278","119803.927000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"5280","119804.152000","controller","0.045000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"5283","119804.197000","remote ()","0.024000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"5284","119804.198000","localhost ()","0.001000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"5285","119804.413000","controller","0.215000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6324","119833.898000","remote ()","0.042000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"6325","119833.898000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"6326","119834.168000","remote ()","0.270000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"6327","119834.168000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"6328","119834.172000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"6330","119834.443000","controller","0.268000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"7053","119864.003000","remote ()","0.003000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"7064","119864.020000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"7071","119864.273000","remote ()","0.221000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"7072","119864.274000","localhost ()","0.001000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"7073","119864.277000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"7075","119864.620000","controller","0.212000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
