"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"56","69251.910000","localhost ()","0.198000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"59","69252.506000","controller","0.235000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"61","69252.541000","remote ()","0.035000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"62","69252.545000","localhost ()","0.004000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"63","69252.729000","controller","0.184000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"66","69252.834000","remote ()","0.010000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"68","69252.835000","localhost ()","0.001000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"70","69253.127000","controller","0.290000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"72","69253.557000","remote ()","0.130000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"73","69253.559000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"74","69253.562000","remote ()","0.003000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"75","69253.703000","remote ()","0.141000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"78","69253.848000","remote ()","0.083000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"79","69253.849000","remote ()","0.001000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"80","69253.851000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"81","69253.992000","remote ()","0.141000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"82","69253.996000","remote ()","0.004000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
