"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"64","5126.551000","0.012000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"92","5128.344000","0.002000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"113","5129.862000","0.019000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"127","5130.755000","0.006000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"148","5131.933000","0.244000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"158","5132.527000","0.268000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"162","5132.582000","0.034000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"166","5132.880000","0.039000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"219","5136.445000","0.008000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"224","5137.032000","0.248000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"286","5138.237000","0.005000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"319","5138.825000","0.167000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"328","5139.755000","0.269000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"331","5140.030000","0.240000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"354","5140.687000","0.030000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"365","5141.549000","0.023000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"368","5141.824000","0.194000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"482","5148.734000","0.282000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"514","5150.527000","0.088000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"527","5151.458000","0.018000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
