"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"830","494087.088000","0.000000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"841","494087.109000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"851","494087.160000","0.006000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"852","494087.160000","0.000000","host","controller","HCI_CMD","6","Sent LE Read Remote Features"
"858","494087.219000","0.011000","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Read Remote Features Complete)"
"863","494087.279000","0.004000","controller","host","HCI_EVT","14","Rcvd LE Meta (LE Data Length Change)"
"866","494087.283000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 527"
"886","494087.339000","0.007000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 247"
"887","494087.339000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff"
"891","494087.362000","0.006000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"902","494087.399000","0.007000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","35","Rcvd Read By Group Type Response, Attribute List Length: 4, Generic Access Profile, Generic Attribute Profile, Device Information, Dialog Semiconductor GmbH"
"903","494087.399000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x002b..0xffff"
"905","494087.421000","0.009000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"911","494087.459000","0.006000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","31","Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown"
"912","494087.459000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x003c..0xffff"
"914","494087.486000","0.025000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"921","494087.519000","0.005000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","14","Rcvd Error Response - Attribute Not Found, Handle: 0xffff (Unknown: Unknown)"
"922","494087.519000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0006..0x0009"
"925","494087.553000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"942","494087.578000","0.003000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","18","Rcvd Read By Type Response, Attribute List Length: 1, Service Changed"
"963","494087.611000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"980","494087.635000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","14","Sent Find Information Request, Handles: 0x0009..0x0009"
"984","494087.698000","0.057000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","15","Rcvd Find Information Response, Handle: 0x0009 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"985","494087.698000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","14","Sent Write Request, Handle: 0x0009 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"986","494087.727000","0.029000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"988","494087.758000","0.031000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0009 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"999","494087.760000","0.002000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x000a..0x0016"
"1000","494087.818000","0.058000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","53","Rcvd Read By Type Response, Attribute List Length: 6, Manufacturer Name String, Model Number String, Firmware Revision String, Software Revision String, System ID, PnP ID"
"1001","494087.819000","0.001000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0017..0x002a"
"1002","494087.821000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1003","494087.879000","0.058000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","200","Rcvd Read By Type Response, Attribute List Length: 9, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown"
