"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"34","152242.029000","0.215000","remote ()","localhost ()","ATT","16","Rcvd Handle Value Notification, Handle: 0x004a (Unknown)"
"35","152242.056000","0.027000","localhost ()","remote ()","ATT","21","Sent Write Command, Handle: 0x004d (Unknown)"
"37","152242.088000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"58","152242.120000","0.002000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"122","152242.224000","0.000000","localhost ()","remote ()","ATT","21","Sent Write Command, Handle: 0x004d (Unknown)"
"193","152242.679000","0.333000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"197","152242.706000","0.020000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"209","152244.518000","0.007000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"210","152244.639000","0.121000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"211","152244.745000","0.106000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"220","152246.514000","0.214000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"221","152246.575000","0.061000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"222","152246.679000","0.104000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"227","152247.204000","0.293000","remote ()","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0053 (Unknown)"
"230","152247.519000","0.056000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"231","152247.789000","0.270000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"232","152247.823000","0.034000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"236","152248.529000","0.130000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"237","152248.824000","0.295000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"238","152248.906000","0.082000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"242","152249.578000","0.256000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"243","152249.847000","0.269000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"245","152249.862000","0.015000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"253","152251.075000","0.159000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"408","152251.479000","0.080000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"409","152251.528000","0.049000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"410","152251.614000","0.086000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"411","152251.719000","0.105000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"416","152252.290000","0.218000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"421","152252.649000","0.015000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"427","152253.459000","0.490000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"429","152253.535000","0.023000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"430","152253.594000","0.059000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"431","152253.699000","0.105000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"435","152254.269000","0.104000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"438","152254.674000","0.241000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"440","152255.080000","0.114000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"442","152255.484000","0.137000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"443","152255.531000","0.047000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"444","152255.619000","0.088000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"445","152255.667000","0.048000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"447","152255.844000","0.177000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"451","152256.532000","0.270000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"452","152256.654000","0.122000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"453","152256.699000","0.045000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"454","152256.805000","0.106000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"457","152257.060000","0.092000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"459","152257.466000","0.004000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"461","152257.915000","0.185000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"463","152258.274000","0.301000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"464","152258.528000","0.254000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
"466","152258.860000","0.223000","remote ()","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x004d (Unknown)"
"467","152258.940000","0.080000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"470","152259.084000","0.105000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"471","152259.445000","0.361000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"472","152259.534000","0.089000","localhost ()","remote ()","ATT","51","Sent Write Command, Handle: 0x004d (Unknown)"
