"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"179","55260.236000","0.055000","localhost ()","remote ()","ATT","14","Sent Write Request, Handle: 0x0027 (Unknown)"
"182","55260.575000","0.124000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0027 (Unknown)"
"183","55260.576000","0.001000","localhost ()","remote ()","ATT","15","Sent Write Request, Handle: 0x0029 (Unknown)"
"184","55260.580000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"185","55260.666000","0.086000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0029 (Unknown)"
"186","55260.711000","0.045000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"202","55262.697000","0.220000","localhost ()","remote ()","ATT","14","Sent Write Request, Handle: 0x0027 (Unknown)"
"205","55263.096000","0.259000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"208","55263.185000","0.075000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0027 (Unknown)"
"209","55263.189000","0.004000","localhost ()","remote ()","ATT","15","Sent Write Request, Handle: 0x0029 (Unknown)"
"211","55263.275000","0.065000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0029 (Unknown)"
"212","55263.278000","0.003000","localhost ()","remote ()","ATT","15","Sent Write Command, Handle: 0x0053 (Unknown)"
"213","55263.281000","0.003000","localhost ()","remote ()","ATT","21","Sent Write Command, Handle: 0x0053 (Unknown)"
"214","55263.282000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"215","55263.321000","0.039000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"216","55263.321000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"217","55263.366000","0.045000","remote ()","localhost ()","ATT","17","Rcvd Handle Value Notification, Handle: 0x0053 (Unknown)"
"218","55263.366000","0.000000","remote ()","localhost ()","ATT","15","Rcvd Handle Value Notification, Handle: 0x0053 (Unknown)"
"240","55265.701000","0.165000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"241","55265.856000","0.155000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"246","55266.699000","0.192000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"248","55267.251000","0.256000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"252","55267.704000","0.047000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"253","55268.150000","0.446000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"259","55268.701000","0.163000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"260","55269.035000","0.334000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"261","55269.133000","0.098000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"266","55269.701000","0.020000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
