"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"1392","366154.877000","0.003000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"1406","366154.907000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"1409","366154.912000","0.000000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"1410","366154.912000","0.000000","host","controller","HCI_CMD","6","Sent LE Read Remote Features"
"1421","366155.093000","0.002000","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Read Remote Features Complete)"
"1422","366155.094000","0.001000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","L2CAP","16","Sent "
"1423","366155.096000","0.002000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 185"
"1424","366155.124000","0.028000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1425","366155.124000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1426","366155.153000","0.029000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","L2CAP","19","Rcvd Command Reject"
"1427","366155.153000","0.000000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 185"
"1428","366155.153000","0.000000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff"
"1429","366155.198000","0.045000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1431","366155.213000","0.015000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","17","Rcvd Read By Group Type Response, Attribute List Length: 1, Generic Attribute Profile"
"1432","366155.213000","0.000000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0005..0xffff"
"1433","366155.270000","0.057000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","17","Rcvd Read By Group Type Response, Attribute List Length: 1, Generic Access Profile"
"1434","366155.271000","0.001000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x000a..0xffff"
"1435","366155.273000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1436","366155.331000","0.058000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","31","Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown"
"1437","366155.331000","0.000000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x000e..0xffff"
"1438","366155.335000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1439","366155.391000","0.056000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","14","Rcvd Error Response - Attribute Not Found, Handle: 0x000e (Unknown: Unknown)"
"1440","366155.391000","0.000000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","16","Sent Read By Type Request, Device Name, Handles: 0x0005..0x0009"
"1441","366155.394000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1442","366155.451000","0.057000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","28","Rcvd Read By Type Response, Attribute List Length: 1"
"1443","366155.451000","0.000000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0001..0x0004"
"1444","366155.455000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1445","366155.511000","0.056000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","18","Rcvd Read By Type Response, Attribute List Length: 1, Service Changed"
"1446","366155.511000","0.000000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","14","Sent Find Information Request, Handles: 0x0004..0x0004"
"1447","366155.514000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1452","366155.543000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1455","366155.572000","0.029000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","15","Rcvd Find Information Response, Handle: 0x0004 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"1456","366155.572000","0.000000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","14","Sent Write Request, Handle: 0x0004 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"1457","366155.631000","0.059000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0004 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"1464","366155.633000","0.002000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x000a..0x000d"
"1465","366155.636000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1466","366155.691000","0.055000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","32","Rcvd Read By Type Response, Attribute List Length: 1, Unknown"
"1467","366155.692000","0.001000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","14","Sent Find Information Request, Handles: 0x000d..0x000d"
"1468","366155.696000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1469","366155.751000","0.055000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","15","Rcvd Find Information Response, Handle: 0x000d (Unknown: Unknown: Client Characteristic Configuration)"
"1470","366155.751000","0.000000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","ATT","14","Sent Write Request, Handle: 0x000d (Unknown: Unknown: Client Characteristic Configuration)"
"1471","366155.754000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1472","366155.811000","0.057000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","ATT","14","Rcvd Error Response - Insufficient Authentication, Handle: 0x000d (Unknown: Unknown: Client Characteristic Configuration)"
"1473","366155.811000","0.000000","localhost ()","43:2c:7b:ab:9d:72 (BPM Connect E4)","SMP","16","Sent Pairing Request: AuthReq: Bonding, MITM, SecureConnection, Reserved | Initiator Key(s): LTK, IRK, Linkkey | Responder Key(s): LTK, IRK, Linkkey"
"1474","366155.815000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1479","366155.871000","0.033000","43:2c:7b:ab:9d:72 (BPM Connect E4)","localhost ()","SMP","11","Rcvd Pairing Failed: Passkey Entry Failed"
"1480","366155.883000","0.012000","host","controller","HCI_CMD","7","Sent Disconnect"
"1481","366155.887000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1484","366155.903000","0.000000","controller","host","HCI_EVT","7","Rcvd Disconnect Complete"
"3187","366230.084000","0.000000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"3197","366230.112000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"3201","366230.116000","0.000000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"3202","366230.116000","0.000000","host","controller","HCI_CMD","6","Sent LE Read Remote Features"
"3214","366230.303000","0.000000","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Read Remote Features Complete)"
"3215","366230.305000","0.002000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","L2CAP","16","Sent "
"3216","366230.305000","0.000000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 185"
"3217","366230.334000","0.029000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3218","366230.334000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3219","366230.363000","0.029000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","L2CAP","19","Rcvd Command Reject"
"3220","366230.363000","0.000000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 185"
"3221","366230.363000","0.000000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff"
"3222","366230.417000","0.054000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3225","366230.423000","0.004000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","17","Rcvd Read By Group Type Response, Attribute List Length: 1, Generic Attribute Profile"
"3226","366230.423000","0.000000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0005..0xffff"
"3227","366230.481000","0.058000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","17","Rcvd Read By Group Type Response, Attribute List Length: 1, Generic Access Profile"
"3228","366230.481000","0.000000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x000a..0xffff"
"3229","366230.485000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3230","366230.536000","0.051000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3232","366230.541000","0.005000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","31","Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown"
"3233","366230.542000","0.001000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x000e..0xffff"
"3234","366230.601000","0.059000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","14","Rcvd Error Response - Attribute Not Found, Handle: 0x000e (Unknown: Unknown: Unknown)"
"3235","366230.601000","0.000000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","16","Sent Read By Type Request, Device Name, Handles: 0x0005..0x0009"
"3236","366230.605000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3237","366230.661000","0.056000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","28","Rcvd Read By Type Response, Attribute List Length: 1"
"3238","366230.662000","0.001000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0001..0x0004"
"3239","366230.665000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3240","366230.722000","0.057000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","18","Rcvd Read By Type Response, Attribute List Length: 1, Service Changed"
"3241","366230.722000","0.000000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","14","Sent Find Information Request, Handles: 0x0004..0x0004"
"3242","366230.725000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3243","366230.781000","0.056000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","15","Rcvd Find Information Response, Handle: 0x0004 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"3244","366230.782000","0.001000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","14","Sent Write Request, Handle: 0x0004 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"3245","366230.785000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3247","366230.841000","0.034000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0004 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"3254","366230.843000","0.002000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x000a..0x000d"
"3255","366230.846000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3256","366230.901000","0.055000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","32","Rcvd Read By Type Response, Attribute List Length: 1, Unknown"
"3257","366230.903000","0.002000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","14","Sent Find Information Request, Handles: 0x000d..0x000d"
"3258","366230.907000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3259","366230.960000","0.053000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","15","Rcvd Find Information Response, Handle: 0x000d (Unknown: Unknown: Client Characteristic Configuration)"
"3260","366230.960000","0.000000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","ATT","14","Sent Write Request, Handle: 0x000d (Unknown: Unknown: Client Characteristic Configuration)"
"3261","366230.963000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3262","366231.021000","0.058000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","ATT","14","Rcvd Error Response - Insufficient Authentication, Handle: 0x000d (Unknown: Unknown: Client Characteristic Configuration)"
"3263","366231.021000","0.000000","localhost ()","50:aa:79:5d:b4:46 (BPM Connect E4)","SMP","16","Sent Pairing Request: AuthReq: Bonding, MITM, SecureConnection, Reserved | Initiator Key(s): LTK, IRK, Linkkey | Responder Key(s): LTK, IRK, Linkkey"
"3264","366231.024000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3265","366231.074000","0.050000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3267","366231.083000","0.009000","50:aa:79:5d:b4:46 (BPM Connect E4)","localhost ()","SMP","11","Rcvd Pairing Failed: Passkey Entry Failed"
"3268","366231.095000","0.012000","host","controller","HCI_CMD","7","Sent Disconnect"
"3271","366231.113000","0.000000","controller","host","HCI_EVT","7","Rcvd Disconnect Complete"
