"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"612","334067.588000","0.002000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"624","334067.614000","0.000000","host","controller","HCI_CMD","32","Sent LE Start Encryption"
"630","334067.646000","0.011000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"633","334067.646000","0.000000","host","controller","HCI_CMD","18","Sent LE Connection Update"
"665","334068.684000","0.151000","controller","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"676","334068.896000","0.000000","controller","host","HCI_EVT","7","Rcvd Encryption Change"
"677","334068.896000","0.000000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"678","334068.897000","0.001000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"681","334068.900000","0.000000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"683","334068.904000","0.000000","host","controller","HCI_CMD","6","Sent LE Read Remote Features"
"686","334068.926000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"688","334068.957000","0.000000","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Read Remote Features Complete)"
"689","334068.960000","0.003000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","L2CAP","16","Sent "
"690","334068.962000","0.002000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 185"
"691","334068.988000","0.026000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"692","334068.988000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"693","334069.017000","0.029000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","L2CAP","19","Rcvd Command Reject"
"694","334069.017000","0.000000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 135"
"703","334069.017000","0.000000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","14","Sent Write Request, Handle: 0x0004 (Unknown)"
"704","334069.074000","0.057000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0004 (Unknown)"
"713","334069.077000","0.001000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","14","Sent Write Request, Handle: 0x000d (Unknown)"
"714","334069.081000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"715","334069.134000","0.053000","Withings_bb:c6:5f (Body+ 5E)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000d (Unknown)"
"716","334069.137000","0.003000","localhost ()","Withings_bb:c6:5f (Body+ 5E)","ATT","32","Sent Write Request, Handle: 0x000c (Unknown)"
"717","334069.141000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
