"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"4621","112518.615000","0.001000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"4631","112518.643000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"4634","112518.681000","0.035000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"4635","112518.686000","0.005000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 185"
"4638","112518.721000","0.028000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"4640","112518.742000","0.021000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 23"
"4641","112518.742000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff"
"4644","112518.800000","0.032000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","23","Rcvd Read By Group Type Response, Attribute List Length: 2, Generic Access Profile, Generic Attribute Profile"
"4645","112518.800000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0010..0xffff"
"4646","112518.803000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"4650","112518.859000","0.030000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","31","Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown"
"4651","112518.859000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0016..0xffff"
"4652","112518.864000","0.005000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"4656","112518.903000","0.025000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"4658","112518.922000","0.019000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","17","Rcvd Read By Group Type Response, Attribute List Length: 1, Device Information"
"4659","112518.922000","0.000000","localhost ()","TexasIns_7f:84:d2 (KN-550BT 110)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x000c..0x000f"
"4663","112518.979000","0.028000","TexasIns_7f:84:d2 (KN-550BT 110)","localhost ()","ATT","18","Rcvd Read By Type Response, Attribute List Length: 1, Service Changed"
