"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"291","200957.752000","0.201000","remote ()","localhost ()","L2CAP","248","Rcvd Connection oriented channel"
"292","200957.753000","0.001000","localhost ()","remote ()","L2CAP","80","Sent Connection oriented channel"
"293","200957.754000","0.001000","remote ()","localhost ()","L2CAP","113","Rcvd Connection oriented channel"
"294","200957.759000","0.005000","localhost ()","remote ()","L2CAP","146","Sent Connection oriented channel"
"295","200957.760000","0.001000","localhost ()","remote ()","L2CAP","146","Sent Connection oriented channel"
"296","200957.767000","0.007000","localhost ()","remote ()","L2CAP","88","Sent Connection oriented channel"
"297","200957.783000","0.016000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"298","200957.783000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"299","200957.785000","0.002000","remote ()","localhost ()","L2CAP","248","Rcvd Connection oriented channel"
"300","200957.785000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"301","200957.785000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"302","200957.785000","0.000000","localhost ()","remote ()","L2CAP","244","Sent Connection oriented channel"
"304","200957.814000","0.016000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"305","200957.843000","0.029000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"306","200957.843000","0.000000","remote ()","localhost ()","L2CAP","88","Rcvd Connection oriented channel"
"307","200957.844000","0.001000","localhost ()","remote ()","L2CAP","252","Sent Connection oriented channel"
"308","200957.844000","0.000000","localhost ()","remote ()","L2CAP","80","Sent Connection oriented channel"
"309","200957.847000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"310","200957.855000","0.008000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"311","200957.855000","0.000000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"312","200957.874000","0.019000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"313","200957.874000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
