"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"2587","712600.200000","0.011000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #2590]"
"2588","712600.200000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #2587] [Reassembled in #2590]"
"2589","712600.201000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #2587] [Reassembled in #2590]"
"2590","712600.203000","0.002000","remote ()","localhost ()","L2CAP","39","Rcvd Connection oriented channel"
"2591","712600.204000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"2592","712600.205000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #2600]"
"2594","712600.222000","0.007000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"2595","712600.230000","0.008000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #2592] [Reassembled in #2600]"
"2596","712600.232000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #2592] [Reassembled in #2600]"
"2597","712600.232000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #2592] [Reassembled in #2600]"
"2598","712600.232000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2599","712600.232000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2600","712600.235000","0.003000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"2602","712600.260000","0.023000","remote ()","localhost ()","L2CAP","155","Rcvd Connection oriented channel"
"2603","712600.260000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #2606]"
"2604","712600.261000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #2603] [Reassembled in #2606]"
"2605","712600.262000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #2603] [Reassembled in #2606]"
"2606","712600.263000","0.001000","remote ()","localhost ()","L2CAP","99","Rcvd Connection oriented channel"
"2607","712600.264000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #2610]"
"2608","712600.264000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #2607] [Reassembled in #2610]"
"2609","712600.264000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #2607] [Reassembled in #2610]"
"2610","712600.264000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"2612","712600.291000","0.025000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #2629]"
"2613","712600.293000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2614","712600.293000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #2612] [Reassembled in #2629]"
"2615","712600.293000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2616","712600.297000","0.004000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #2620]"
"2617","712600.297000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #2616] [Reassembled in #2620]"
"2618","712600.297000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #2616] [Reassembled in #2620]"
"2619","712600.297000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #2616] [Reassembled in #2620]"
"2620","712600.297000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"2621","712600.297000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #2623]"
"2622","712600.297000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #2621] [Reassembled in #2623]"
"2623","712600.297000","0.000000","localhost ()","remote ()","L2CAP","42","Sent Connection oriented channel"
"2624","712600.304000","0.007000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"2625","712600.321000","0.017000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #2612] [Reassembled in #2629]"
"2626","712600.323000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #2612] [Reassembled in #2629]"
"2627","712600.323000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2628","712600.323000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2629","712600.324000","0.001000","remote ()","localhost ()","L2CAP","24","Rcvd Connection oriented channel"
"2630","712600.325000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"2631","712600.327000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2633","712600.340000","0.007000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #2637]"
"2634","712600.340000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #2633] [Reassembled in #2637]"
"2635","712600.340000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #2633] [Reassembled in #2637]"
"2636","712600.340000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #2633] [Reassembled in #2637]"
"2637","712600.340000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"2638","712600.350000","0.010000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"2639","712600.350000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2640","712600.350000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #2643]"
"2641","712600.350000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #2640] [Reassembled in #2643]"
"2642","712600.350000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2643","712600.350000","0.000000","localhost ()","remote ()","L2CAP","42","Sent Connection oriented channel"
"2644","712600.351000","0.001000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"2645","712600.353000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2646","712600.365000","0.012000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2649","712600.382000","0.016000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2650","712600.382000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2651","712600.382000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2652","712600.382000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2653","712600.405000","0.023000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2655","712600.410000","0.005000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"2656","712600.410000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2657","712600.410000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2658","712600.411000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"2659","712600.413000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2660","712600.438000","0.025000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2662","712600.441000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2663","712600.441000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2664","712600.444000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2665","712600.444000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2666","712600.469000","0.025000","remote ()","localhost ()","L2CAP","92","Rcvd Connection oriented channel"
"2667","712600.470000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"2668","712600.471000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2671","712600.502000","0.020000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2673","712600.506000","0.004000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"2679","712600.560000","0.020000","remote ()","localhost ()","L2CAP","92","Rcvd Connection oriented channel"
"2680","712600.560000","0.000000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"2681","712600.560000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"2682","712600.562000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
