"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"21","197523.600000","0.030000","remote ()","localhost ()","L2CAP","15","Rcvd Connection oriented channel"
"22","197523.600000","0.000000","remote ()","localhost ()","L2CAP","58","Rcvd Connection oriented channel"
"23","197523.600000","0.000000","remote ()","localhost ()","L2CAP","15","Rcvd Connection oriented channel"
"24","197523.600000","0.000000","remote ()","localhost ()","L2CAP","248","Rcvd Connection oriented channel"
"25","197523.601000","0.001000","localhost ()","remote ()","L2CAP","80","Sent Connection oriented channel"
"26","197523.601000","0.000000","remote ()","localhost ()","L2CAP","58","Rcvd Connection oriented channel"
"27","197523.603000","0.002000","localhost ()","remote ()","L2CAP","146","Sent Connection oriented channel"
"28","197523.605000","0.002000","localhost ()","remote ()","L2CAP","146","Sent Connection oriented channel"
"29","197523.608000","0.003000","localhost ()","remote ()","L2CAP","88","Sent Connection oriented channel"
"30","197523.630000","0.022000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"31","197523.630000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"32","197523.633000","0.003000","remote ()","localhost ()","L2CAP","248","Rcvd Connection oriented channel"
"33","197523.633000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"34","197523.633000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"35","197523.633000","0.000000","localhost ()","remote ()","L2CAP","244","Sent Connection oriented channel"
"36","197523.660000","0.027000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"37","197523.689000","0.029000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"38","197523.689000","0.000000","remote ()","localhost ()","L2CAP","88","Rcvd Connection oriented channel"
"39","197523.689000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #40]"
"40","197523.689000","0.000000","localhost ()","remote ()","L2CAP","70","Sent Connection oriented channel"
"41","197523.692000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"42","197523.701000","0.009000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"43","197523.701000","0.000000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"44","197523.720000","0.019000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"45","197523.720000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"46","197523.720000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"47","197523.720000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"48","197523.749000","0.029000","remote ()","localhost ()","L2CAP","80","Rcvd Connection oriented channel"
"49","197523.750000","0.001000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"50","197523.750000","0.000000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"51","197523.750000","0.000000","remote ()","localhost ()","L2CAP","88","Rcvd Connection oriented channel"
"52","197523.750000","0.000000","localhost ()","remote ()","L2CAP","80","Sent Connection oriented channel"
"53","197523.851000","0.101000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"54","197523.854000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"55","197523.957000","0.103000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"56","197524.108000","0.151000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"64","197524.828000","0.077000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #66]"
"65","197524.830000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #64] [Reassembled in #66]"
"66","197524.830000","0.000000","remote ()","localhost ()","L2CAP","130","Rcvd Connection oriented channel"
"67","197524.831000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"68","197524.832000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #73]"
"69","197524.833000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #68] [Reassembled in #73]"
"70","197524.855000","0.022000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"71","197524.858000","0.003000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #68] [Reassembled in #73]"
"72","197524.860000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #68] [Reassembled in #73]"
"73","197524.862000","0.002000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"74","197524.862000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #77]"
"75","197524.862000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"76","197524.862000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"77","197524.889000","0.027000","remote ()","localhost ()","L2CAP","189","Rcvd Connection oriented channel"
"78","197524.889000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #85]"
"79","197524.890000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #82]"
"80","197524.890000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #79] [Reassembled in #82]"
"81","197524.890000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #79] [Reassembled in #82]"
"82","197524.890000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"83","197524.890000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"84","197524.891000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #78] [Reassembled in #85]"
"85","197524.891000","0.000000","remote ()","localhost ()","L2CAP","18","Rcvd Connection oriented channel"
"86","197524.892000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"87","197524.923000","0.031000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"88","197524.923000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"89","197524.923000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"90","197524.923000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"91","197524.924000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"92","197524.925000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"93","197524.931000","0.006000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"94","197524.934000","0.003000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #95]"
"95","197524.934000","0.000000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"96","197524.950000","0.016000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"97","197524.950000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"98","197524.950000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"99","197524.950000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #102]"
"100","197524.950000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #99] [Reassembled in #102]"
"101","197524.950000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #99] [Reassembled in #102]"
"102","197524.950000","0.000000","localhost ()","remote ()","L2CAP","159","Sent Connection oriented channel"
"103","197524.951000","0.001000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"104","197524.952000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"105","197524.953000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"106","197524.979000","0.026000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"107","197524.981000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"108","197524.981000","0.000000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"109","197524.981000","0.000000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"110","197524.981000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"111","197524.981000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"112","197524.984000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"113","197524.989000","0.005000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #114]"
"114","197524.989000","0.000000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"115","197524.999000","0.010000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #119]"
"116","197524.999000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #115] [Reassembled in #119]"
"117","197524.999000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #115] [Reassembled in #119]"
"118","197524.999000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #115] [Reassembled in #119]"
"119","197524.999000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"120","197524.999000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #122]"
"121","197524.999000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #120] [Reassembled in #122]"
"122","197524.999000","0.000000","localhost ()","remote ()","L2CAP","34","Sent Connection oriented channel"
"123","197525.010000","0.011000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"124","197525.010000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"125","197525.013000","0.003000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"126","197525.013000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"127","197525.013000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"128","197525.013000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"129","197525.015000","0.002000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"130","197525.041000","0.026000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"131","197525.041000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"132","197525.041000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
