"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"20","198813.459000","0.032000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #22]"
"21","198813.460000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #20] [Reassembled in #22]"
"22","198813.462000","0.002000","remote ()","localhost ()","L2CAP","130","Rcvd Connection oriented channel"
"23","198813.463000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"24","198813.481000","0.018000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"25","198813.491000","0.010000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"26","198813.491000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"27","198813.521000","0.030000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #31]"
"28","198813.521000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #27] [Reassembled in #31]"
"29","198813.523000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #27] [Reassembled in #31]"
"30","198813.523000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #27] [Reassembled in #31]"
"31","198813.525000","0.002000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"32","198813.550000","0.025000","remote ()","localhost ()","L2CAP","83","Rcvd Connection oriented channel"
"33","198813.550000","0.000000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"34","198813.550000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #37]"
"35","198813.550000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #34] [Reassembled in #37]"
"36","198813.550000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #34] [Reassembled in #37]"
"37","198813.551000","0.001000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"38","198813.563000","0.012000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"39","198813.578000","0.015000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #43]"
"40","198813.578000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #39] [Reassembled in #43]"
"41","198813.578000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #39] [Reassembled in #43]"
"42","198813.578000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #39] [Reassembled in #43]"
"43","198813.578000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"44","198813.578000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #46]"
"45","198813.578000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #44] [Reassembled in #46]"
"46","198813.578000","0.000000","localhost ()","remote ()","L2CAP","42","Sent Connection oriented channel"
"47","198813.582000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"48","198813.582000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"49","198813.582000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"50","198813.584000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"51","198813.584000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"52","198813.610000","0.026000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"53","198813.610000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"54","198813.612000","0.002000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"55","198813.612000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"56","198813.612000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"57","198813.670000","0.058000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"58","198813.670000","0.000000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"59","198813.670000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
