"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"793","711975.747000","0.024000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #797]"
"794","711975.747000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #793] [Reassembled in #797]"
"795","711975.749000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #793] [Reassembled in #797]"
"796","711975.749000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #793] [Reassembled in #797]"
"797","711975.751000","0.002000","remote ()","localhost ()","L2CAP","220","Rcvd Connection oriented channel"
"798","711975.752000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"799","711975.777000","0.025000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"800","711975.780000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"801","711975.807000","0.027000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #805]"
"802","711975.807000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #801] [Reassembled in #805]"
"803","711975.809000","0.002000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #801] [Reassembled in #805]"
"804","711975.809000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #801] [Reassembled in #805]"
"805","711975.811000","0.002000","remote ()","localhost ()","L2CAP","24","Rcvd Connection oriented channel"
"806","711975.811000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #809]"
"807","711975.811000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #806] [Reassembled in #809]"
"808","711975.812000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #806] [Reassembled in #809]"
"809","711975.812000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"810","711975.814000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"811","711975.831000","0.017000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #815]"
"812","711975.831000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #811] [Reassembled in #815]"
"813","711975.831000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #811] [Reassembled in #815]"
"814","711975.831000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #811] [Reassembled in #815]"
"815","711975.831000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"816","711975.831000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #818]"
"817","711975.831000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #816] [Reassembled in #818]"
