"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"42","714241.478000","0.170000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #44]"
"43","714241.479000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #42] [Reassembled in #44]"
"44","714241.480000","0.001000","remote ()","localhost ()","L2CAP","130","Rcvd Connection oriented channel"
"45","714241.481000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"46","714241.482000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #51]"
"47","714241.483000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #46] [Reassembled in #51]"
"48","714241.498000","0.015000","localhost ()","remote ()","L2CAP","84","Sent Connection oriented channel"
"49","714241.509000","0.011000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #46] [Reassembled in #51]"
"50","714241.510000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #46] [Reassembled in #51]"
"51","714241.510000","0.000000","remote ()","localhost ()","L2CAP","256","Rcvd Connection oriented channel"
"52","714241.511000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"53","714241.511000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"54","714241.512000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #55]"
"55","714241.540000","0.028000","remote ()","localhost ()","L2CAP","185","Rcvd Connection oriented channel"
"56","714241.540000","0.000000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Reassembled in #62]"
"57","714241.541000","0.001000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #60]"
"58","714241.541000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #57] [Reassembled in #60]"
"59","714241.541000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #57] [Reassembled in #60]"
"60","714241.541000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"61","714241.542000","0.001000","remote ()","localhost ()","HCI_ACL","256","Rcvd  [Continuation to #56] [Reassembled in #62]"
"62","714241.542000","0.000000","remote ()","localhost ()","L2CAP","18","Rcvd Connection oriented channel"
"63","714241.543000","0.001000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"65","714241.572000","0.014000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"66","714241.572000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"67","714241.572000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"68","714241.574000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"69","714241.574000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"70","714241.581000","0.007000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"71","714241.589000","0.008000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #72]"
"72","714241.589000","0.000000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"74","714241.595000","0.005000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #78]"
"75","714241.595000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #74] [Reassembled in #78]"
"76","714241.595000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #74] [Reassembled in #78]"
"77","714241.595000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #74] [Reassembled in #78]"
"78","714241.595000","0.000000","localhost ()","remote ()","L2CAP","256","Sent Connection oriented channel"
"79","714241.595000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #81]"
"80","714241.595000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #79] [Reassembled in #81]"
"81","714241.595000","0.000000","localhost ()","remote ()","L2CAP","50","Sent Connection oriented channel"
"82","714241.598000","0.003000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"83","714241.599000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"84","714241.600000","0.001000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"85","714241.600000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"86","714241.600000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"87","714241.600000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #90]"
"88","714241.600000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #87] [Reassembled in #90]"
"89","714241.600000","0.000000","localhost ()","remote ()","HCI_ACL","256","Sent  [Continuation to #87] [Reassembled in #90]"
"90","714241.600000","0.000000","localhost ()","remote ()","L2CAP","139","Sent Connection oriented channel"
"92","714241.629000","0.020000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"93","714241.629000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"94","714241.629000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"95","714241.630000","0.001000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"96","714241.632000","0.002000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"97","714241.632000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"98","714241.634000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"99","714241.643000","0.009000","localhost ()","remote ()","HCI_ACL","256","Sent  [Reassembled in #100]"
"100","714241.643000","0.000000","localhost ()","remote ()","L2CAP","37","Sent Connection oriented channel"
"101","714241.661000","0.018000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"102","714241.661000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"103","714241.664000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"104","714241.664000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"105","714241.664000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"106","714241.689000","0.025000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"107","714241.689000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"108","714241.689000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"109","714241.692000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"110","714241.692000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"111","714241.700000","0.008000","localhost ()","remote ()","L2CAP","11","Sent Connection oriented channel"
"112","714241.702000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"113","714241.719000","0.017000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"114","714241.719000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"115","714241.719000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"116","714241.747000","0.028000","remote ()","localhost ()","L2CAP","76","Rcvd Connection oriented channel"
"117","714241.747000","0.000000","localhost ()","remote ()","L2CAP","248","Sent Connection oriented channel"
"118","714241.748000","0.001000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"119","714241.748000","0.000000","remote ()","localhost ()","L2CAP","84","Rcvd Connection oriented channel"
"120","714241.748000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"121","714241.748000","0.000000","localhost ()","remote ()","L2CAP","76","Sent Connection oriented channel"
"122","714241.749000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"136","714241.808000","0.003000","remote ()","localhost ()","L2CAP","11","Rcvd Connection oriented channel"
"139","714241.809000","0.001000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
