"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"143","79367.975000","remote ()","0.063000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"159","79368.993000","remote ()","0.012000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"328","79372.036000","remote ()","0.054000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"344","79372.617000","remote ()","0.151000","localhost ()","ATT","111","Rcvd Handle Value Indication, Handle: 0x001a (Unknown)"
"345","79372.617000","localhost ()","0.000000","remote ()","ATT","10","Sent Handle Value Confirmation, Handle: 0x001a (Unknown)"
"347","79372.837000","controller","0.181000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"349","79372.907000","remote ()","0.070000","localhost ()","ATT","111","Rcvd Handle Value Indication, Handle: 0x001a (Unknown)"
"350","79372.907000","localhost ()","0.000000","remote ()","ATT","10","Sent Handle Value Confirmation, Handle: 0x001a (Unknown)"
"353","79373.197000","remote ()","0.169000","localhost ()","ATT","111","Rcvd Handle Value Indication, Handle: 0x001a (Unknown)"
"354","79373.197000","localhost ()","0.000000","remote ()","ATT","10","Sent Handle Value Confirmation, Handle: 0x001a (Unknown)"
"355","79373.201000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"356","79373.483000","controller","0.282000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"358","79373.489000","remote ()","0.006000","localhost ()","ATT","111","Rcvd Handle Value Indication, Handle: 0x001a (Unknown)"
"359","79373.489000","localhost ()","0.000000","remote ()","ATT","10","Sent Handle Value Confirmation, Handle: 0x001a (Unknown)"
"360","79373.666000","controller","0.177000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"401","79376.656000","localhost ()","0.092000","remote ()","ATT","20","Sent Handle Value Notification, Handle: 0x0028 (Unknown)"
"412","79376.677000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"429","79376.966000","remote ()","0.015000","localhost ()","ATT","30","Rcvd Write Request, Handle: 0x0025 (Unknown)"
"430","79376.969000","localhost ()","0.003000","remote ()","ATT","10","Sent Write Response, Handle: 0x0025 (Unknown)"
"431","79376.969000","localhost ()","0.000000","remote ()","ATT","106","Sent Handle Value Notification, Handle: 0x002b (Unknown)"
"444","79377.112000","controller","0.010000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"445","79377.112000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"612","79380.156000","remote ()","0.035000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"627","79382.186000","remote ()","0.077000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"717","79385.316000","localhost ()","0.247000","remote ()","ATT","20","Sent Handle Value Notification, Handle: 0x0028 (Unknown)"
"728","79385.375000","remote ()","0.045000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"729","79385.397000","controller","0.022000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"747","79385.668000","remote ()","0.025000","localhost ()","ATT","30","Rcvd Write Request, Handle: 0x0025 (Unknown)"
"748","79385.670000","localhost ()","0.002000","remote ()","ATT","10","Sent Write Response, Handle: 0x0025 (Unknown)"
"749","79385.671000","localhost ()","0.001000","remote ()","ATT","100","Sent Handle Value Notification, Handle: 0x002b (Unknown)"
"761","79385.812000","controller","0.009000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"762","79385.812000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"774","79388.276000","remote ()","0.148000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"947","79392.336000","remote ()","0.054000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"971","79395.526000","remote ()","0.348000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"976","79396.396000","remote ()","0.206000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"980","79397.266000","remote ()","0.048000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"989","79399.296000","remote ()","0.071000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1150","79401.326000","remote ()","0.088000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1160","79403.356000","remote ()","0.108000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1174","79407.416000","remote ()","0.013000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1348","79412.635000","remote ()","0.314000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1359","79415.536000","remote ()","0.198000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1365","79416.551000","remote ()","0.047000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1373","79418.726000","remote ()","0.178000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1569","79429.746000","remote ()","0.254000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"1746","79436.996000","remote ()","0.275000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2124","79455.991000","remote ()","0.303000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2129","79457.151000","remote ()","0.061000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2139","79459.036000","remote ()","0.168000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2300","79461.066000","remote ()","0.323000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2308","79463.096000","remote ()","0.257000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2312","79464.256000","remote ()","0.154000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2321","79466.286000","remote ()","0.132000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2490","79471.215000","remote ()","0.379000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2501","79474.260000","remote ()","0.187000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2508","79476.291000","remote ()","0.083000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2515","79479.190000","remote ()","0.252000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
