"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"1251","133197.261000","remote ()","0.288000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"1252","133197.261000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"1253","133197.531000","remote ()","0.270000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"1254","133197.531000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"1255","133197.535000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"1257","133197.877000","controller","0.342000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2423","133227.366000","remote ()","0.147000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"2424","133227.366000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"2425","133227.635000","remote ()","0.269000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"2426","133227.635000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"2427","133227.638000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2428","133227.859000","controller","0.221000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3407","133257.471000","remote ()","0.257000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"3408","133257.471000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"3413","133257.741000","remote ()","0.184000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"3414","133257.741000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"3415","133257.745000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3418","133258.117000","controller","0.266000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3968","133287.441000","remote ()","0.504000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"3969","133287.441000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"3972","133287.710000","remote ()","0.139000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"3973","133287.710000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"3974","133287.714000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"3976","133288.108000","controller","0.271000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"4675","133317.546000","remote ()","0.581000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"4676","133317.546000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"4747","133317.740000","controller","0.051000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"4749","133317.815000","remote ()","0.075000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"4750","133317.815000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"4751","133318.152000","controller","0.337000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"5453","133347.651000","remote ()","0.130000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"5454","133347.652000","localhost ()","0.001000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"5455","133347.921000","remote ()","0.269000","localhost ()","ATT","14","Rcvd Write Request, Handle: 0x0046 (Unknown)"
"5456","133347.921000","localhost ()","0.000000","remote ()","ATT","10","Sent Write Response, Handle: 0x0046 (Unknown)"
"5457","133347.924000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"5458","133348.257000","controller","0.333000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
