"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"30","4340.107000","remote ()","0.599000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"31","4340.136000","remote ()","0.029000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"34","4340.612000","localhost ()","0.097000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"35","4340.766000","controller","0.154000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"36","4340.947000","remote ()","0.181000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"39","4340.979000","remote ()","0.008000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"41","4341.010000","remote ()","0.015000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"42","4341.010000","remote ()","0.000000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"43","4341.012000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"44","4341.068000","remote ()","0.056000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"45","4341.070000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"46","4341.100000","remote ()","0.030000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"47","4341.158000","remote ()","0.058000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"48","4341.187000","remote ()","0.029000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"49","4341.189000","remote ()","0.002000","localhost ()","ATT","155","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"50","4341.190000","remote ()","0.001000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"57","4341.811000","localhost ()","0.219000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"58","4341.834000","controller","0.023000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"60","4341.847000","remote ()","0.013000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"61","4341.849000","localhost ()","0.002000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"62","4341.850000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"63","4341.851000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"64","4341.852000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"65","4341.853000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"66","4341.853000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"67","4341.854000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"68","4341.855000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"69","4341.855000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"70","4341.856000","localhost ()","0.001000","remote ()","ATT","27","Sent Write Command, Handle: 0x0012 (Unknown)"
"71","4341.856000","localhost ()","0.000000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"73","4341.880000","controller","0.010000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"74","4341.880000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"75","4341.905000","controller","0.025000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"77","4341.910000","controller","0.005000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"78","4341.910000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"79","4341.938000","controller","0.028000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"80","4341.938000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"81","4341.942000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"82","4341.942000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"83","4341.967000","controller","0.025000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"84","4341.967000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"85","4342.147000","remote ()","0.180000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"90","4342.478000","remote ()","0.015000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"93","4342.657000","remote ()","0.129000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"290","4347.367000","remote ()","0.474000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"292","4347.368000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"294","4347.539000","controller","0.168000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"297","4347.913000","controller","0.091000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"709","4368.940000","remote ()","0.192000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"2183","4429.551000","remote ()","0.221000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
