"No.","Time","Source","Delta Time","Destination","Protocol","Length","Info"
"31","70315.424000","localhost ()","0.067000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"32","70315.480000","controller","0.056000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"35","70315.974000","remote ()","0.127000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"36","70316.005000","remote ()","0.031000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"38","70316.037000","remote ()","0.009000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"39","70316.039000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"40","70316.042000","remote ()","0.003000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"42","70316.097000","remote ()","0.017000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"43","70316.099000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"44","70316.276000","remote ()","0.177000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"45","70316.306000","remote ()","0.030000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"46","70316.337000","remote ()","0.031000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"49","70316.369000","remote ()","0.010000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"50","70316.369000","remote ()","0.000000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"51","70316.369000","remote ()","0.000000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"59","70317.548000","localhost ()","0.052000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"60","70317.594000","remote ()","0.046000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"61","70317.597000","localhost ()","0.003000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"62","70317.599000","localhost ()","0.002000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"63","70317.600000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"64","70317.600000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"65","70317.601000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"66","70317.601000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"67","70317.602000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"68","70317.603000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"69","70317.604000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"70","70317.604000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"71","70317.604000","localhost ()","0.000000","remote ()","ATT","43","Sent Write Command, Handle: 0x0012 (Unknown)"
"72","70317.605000","localhost ()","0.001000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"73","70317.628000","controller","0.023000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"74","70317.628000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"75","70317.657000","controller","0.029000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"76","70317.657000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"77","70317.661000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"78","70317.661000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"81","70317.688000","controller","0.010000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"82","70317.689000","controller","0.001000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"83","70317.691000","controller","0.002000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"84","70317.691000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"85","70317.770000","controller","0.079000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"87","70318.105000","remote ()","0.335000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"88","70318.136000","remote ()","0.031000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"248","70319.516000","remote ()","0.002000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"264","70321.075000","remote ()","0.072000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"377","70323.565000","remote ()","0.165000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"379","70323.565000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"381","70323.651000","controller","0.083000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"386","70324.101000","controller","0.137000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"393","70324.746000","localhost ()","0.154000","remote ()","ATT","20","Sent Handle Value Notification, Handle: 0x0028 (Unknown)"
"407","70324.827000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"421","70324.973000","remote ()","0.004000","localhost ()","ATT","30","Rcvd Write Request, Handle: 0x0025 (Unknown)"
"422","70324.974000","localhost ()","0.001000","remote ()","ATT","10","Sent Write Response, Handle: 0x0025 (Unknown)"
"423","70324.975000","localhost ()","0.001000","remote ()","ATT","91","Sent Handle Value Notification, Handle: 0x002b (Unknown)"
"433","70325.118000","controller","0.029000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"434","70325.118000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"439","70325.271000","localhost ()","0.121000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"445","70325.986000","remote ()","0.212000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"446","70325.990000","localhost ()","0.004000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"447","70325.993000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"451","70326.281000","controller","0.202000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"457","70327.144000","remote ()","0.179000","localhost ()","ATT","19","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"458","70327.147000","remote ()","0.003000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"459","70327.149000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"460","70327.290000","remote ()","0.141000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"461","70327.292000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"462","70327.294000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"464","70327.437000","remote ()","0.011000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"465","70327.437000","remote ()","0.000000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"466","70327.439000","remote ()","0.002000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"468","70327.582000","remote ()","0.013000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"469","70327.582000","remote ()","0.000000","localhost ()","ATT","194","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"470","70327.584000","remote ()","0.002000","localhost ()","ATT","37","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"471","70327.724000","remote ()","0.140000","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"627","70328.501000","localhost ()","0.006000","remote ()","ATT","22","Sent Write Command, Handle: 0x0012 (Unknown)"
"629","70328.739000","remote ()","0.227000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"630","70328.739000","remote ()","0.000000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"632","70328.739000","localhost ()","0.000000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"633","70328.742000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"634","70328.743000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"635","70328.743000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"636","70328.744000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"638","70328.745000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"639","70328.745000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"640","70328.746000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"641","70328.747000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"642","70328.747000","localhost ()","0.000000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"643","70328.748000","localhost ()","0.001000","remote ()","ATT","194","Sent Write Command, Handle: 0x0012 (Unknown)"
"644","70328.749000","localhost ()","0.001000","remote ()","ATT","43","Sent Write Command, Handle: 0x0012 (Unknown)"
"645","70328.750000","localhost ()","0.001000","remote ()","ATT","14","Sent Write Command, Handle: 0x0012 (Unknown)"
"647","70328.886000","controller","0.039000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"648","70328.886000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"649","70329.030000","controller","0.144000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"650","70329.030000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"652","70329.102000","controller","0.003000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"660","70329.612000","controller","0.163000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"661","70329.612000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"662","70329.715000","controller","0.103000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"664","70329.757000","controller","0.042000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"665","70329.757000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"666","70329.759000","controller","0.002000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"667","70329.759000","controller","0.000000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"668","70329.898000","remote ()","0.139000","localhost ()","ATT","18","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"677","70331.358000","controller","0.851000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"683","70331.511000","remote ()","0.008000","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"719","70336.225000","remote ()","0.180000","localhost ()","L2CAP","21","Rcvd Connection Parameter Update Request"
"721","70336.226000","localhost ()","0.001000","remote ()","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"723","70336.406000","controller","0.178000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"728","70336.716000","controller","0.114000","host","HCI_EVT","13","Rcvd LE Meta (LE Connection Update Complete)"
"731","70336.918000","localhost ()","0.198000","remote ()","ATT","25","Sent Write Command, Handle: 0x0012 (Unknown)"
"733","70337.296000","remote ()","0.359000","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x001e (Unknown)"
"734","70337.441000","remote ()","0.145000","localhost ()","ATT","26","Rcvd Handle Value Notification, Handle: 0x0017 (Unknown)"
"735","70337.445000","localhost ()","0.004000","remote ()","ATT","15","Sent Write Command, Handle: 0x0012 (Unknown)"
"736","70337.449000","controller","0.004000","host","HCI_EVT","8","Rcvd Number of Completed Packets"
