"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"73","8132.914000","0.006000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"81","8133.501000","0.268000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"96","8134.705000","0.307000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"160","8136.556000","0.154000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"165","8136.698000","0.135000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"178","8137.288000","0.004000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"197","8138.219000","0.007000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"208","8139.147000","0.037000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"217","8140.016000","0.008000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"221","8140.316000","0.025000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"278","8141.278000","0.004000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"332","8144.273000","0.002000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"337","8144.863000","0.013000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"339","8145.136000","0.217000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"342","8145.193000","0.002000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"357","8146.068000","0.006000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"367","8146.656000","0.002000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"388","8148.193000","0.038000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"409","8148.449000","0.000000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
"598","8149.657000","0.004000","controller","host","HCI_EVT","60","Rcvd LE Meta (LE Extended Advertising Report)"
