"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"413","493253.178000","0.000000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"422","493253.198000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"425","493253.243000","0.042000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"426","493253.243000","0.000000","host","controller","HCI_CMD","6","Sent LE Read Remote Features"
"432","493253.304000","0.023000","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Read Remote Features Complete)"
"447","493253.363000","0.001000","controller","host","HCI_EVT","14","Rcvd LE Meta (LE Data Length Change)"
"504","493253.462000","0.002000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 527"
"509","493253.515000","0.019000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 247"
"510","493253.515000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff"
"512","493253.534000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"513","493253.573000","0.039000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","35","Rcvd Read By Group Type Response, Attribute List Length: 4, Generic Access Profile, Generic Attribute Profile, Device Information, Dialog Semiconductor GmbH"
"514","493253.573000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x002b..0xffff"
"515","493253.615000","0.042000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"517","493253.633000","0.018000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","31","Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown"
"518","493253.634000","0.001000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x003c..0xffff"
"519","493253.676000","0.042000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"522","493253.693000","0.012000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","14","Rcvd Error Response - Attribute Not Found, Handle: 0xffff (Unknown: Unknown)"
"523","493253.694000","0.001000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0006..0x0009"
"525","493253.742000","0.029000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"527","493253.753000","0.011000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","18","Rcvd Read By Type Response, Attribute List Length: 1, Service Changed"
"528","493253.754000","0.001000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","14","Sent Find Information Request, Handles: 0x0009..0x0009"
"529","493253.781000","0.027000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"531","493253.843000","0.062000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","15","Rcvd Find Information Response, Handle: 0x0009 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"532","493253.843000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","14","Sent Write Request, Handle: 0x0009 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"533","493253.897000","0.054000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"535","493253.905000","0.008000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0009 (Generic Attribute Profile: Service Changed: Client Characteristic Configuration)"
"546","493253.908000","0.003000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x000a..0x0016"
"547","493253.957000","0.049000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"549","493253.966000","0.009000","e3:60:58:e1:51:1c (Govee_H5074_511C)","localhost ()","ATT","53","Rcvd Read By Type Response, Attribute List Length: 6, Manufacturer Name String, Model Number String, Firmware Revision String, Software Revision String, System ID, PnP ID"
"550","493253.966000","0.000000","localhost ()","e3:60:58:e1:51:1c (Govee_H5074_511C)","ATT","16","Sent Read By Type Request, GATT Characteristic Declaration, Handles: 0x0017..0x002a"
