"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"16","607065.566000","0.029000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"17","607065.567000","0.001000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"18","607065.567000","0.000000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"19","607065.569000","0.002000","remote ()","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"48","607066.017000","0.029000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"49","607066.018000","0.001000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"50","607066.021000","0.003000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"51","607066.021000","0.000000","remote ()","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"64","607066.528000","0.018000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"65","607066.528000","0.000000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"66","607066.528000","0.000000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"70","607066.558000","0.012000","remote ()","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"78","607067.036000","0.159000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"79","607067.038000","0.002000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"80","607067.038000","0.000000","remote ()","localhost ()","ATT","32","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
"81","607067.039000","0.001000","remote ()","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x0016 (Unknown)"
