"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"88","56928.668000","0.165000","localhost ()","remote ()","ATT","14","Sent Write Request, Handle: 0x0027 (Unknown)"
"90","56928.951000","0.080000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0027 (Unknown)"
"91","56928.951000","0.000000","localhost ()","remote ()","ATT","15","Sent Write Request, Handle: 0x0029 (Unknown)"
"92","56928.954000","0.003000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"95","56928.998000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"96","56929.041000","0.043000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0029 (Unknown)"
"111","56931.141000","0.010000","localhost ()","remote ()","ATT","14","Sent Write Request, Handle: 0x0027 (Unknown)"
"112","56931.425000","0.284000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0027 (Unknown)"
"113","56931.427000","0.002000","localhost ()","remote ()","ATT","15","Sent Write Request, Handle: 0x0029 (Unknown)"
"114","56931.429000","0.002000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"115","56931.498000","0.069000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"117","56931.516000","0.018000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0029 (Unknown)"
"118","56931.518000","0.002000","localhost ()","remote ()","ATT","15","Sent Write Command, Handle: 0x0053 (Unknown)"
"119","56931.519000","0.001000","localhost ()","remote ()","ATT","21","Sent Write Command, Handle: 0x0053 (Unknown)"
"120","56931.561000","0.042000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"121","56931.561000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"123","56931.696000","0.125000","remote ()","localhost ()","ATT","17","Rcvd Handle Value Notification, Handle: 0x0053 (Unknown)"
"124","56931.696000","0.000000","remote ()","localhost ()","ATT","15","Rcvd Handle Value Notification, Handle: 0x0053 (Unknown)"
"216","56933.811000","0.287000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"219","56934.144000","0.066000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"221","56934.216000","0.065000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"222","56934.321000","0.105000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"226","56934.621000","0.113000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"229","56935.144000","0.149000","localhost ()","remote ()","ATT","25","Sent Write Command, Handle: 0x0053 (Unknown)"
"230","56935.311000","0.167000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"384","56936.144000","0.036000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"385","56936.241000","0.097000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"386","56936.393000","0.152000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"389","56936.645000","0.126000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"397","56937.051000","0.007000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"398","56937.143000","0.092000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"405","56937.621000","0.039000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"407","56937.816000","0.195000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"410","56938.144000","0.203000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"413","56938.528000","0.283000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"416","56938.626000","0.087000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"418","56939.031000","0.242000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"419","56939.143000","0.112000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"421","56939.720000","0.173000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"424","56940.144000","0.141000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"425","56940.246000","0.102000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"426","56940.397000","0.151000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"429","56941.011000","0.091000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"430","56941.144000","0.133000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"433","56941.701000","0.153000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"435","56941.821000","0.048000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"437","56941.954000","0.116000","localhost ()","remote ()","ATT","13","Sent Write Request, Handle: 0x0029 (Unknown)"
"439","56942.393000","0.247000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"441","56942.407000","0.014000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x0029 (Unknown)"
"442","56942.410000","0.003000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"443","56942.548000","0.138000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"445","56942.631000","0.083000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"447","56943.143000","0.428000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"448","56943.277000","0.134000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"452","56943.441000","0.136000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"454","56944.143000","0.584000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"456","56944.482000","0.255000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"460","56944.611000","0.046000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"466","56945.144000","0.029000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"467","56945.301000","0.157000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"469","56945.423000","0.030000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"626","56946.144000","0.035000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"627","56946.231000","0.087000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"628","56946.343000","0.112000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"635","56947.145000","0.490000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"636","56947.326000","0.181000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"637","56947.446000","0.120000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"641","56948.144000","0.249000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"642","56948.210000","0.066000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"643","56948.362000","0.152000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"647","56949.021000","0.414000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"648","56949.066000","0.045000","remote ()","localhost ()","ATT","25","Rcvd Handle Value Notification, Handle: 0x0044 (Unknown)"
"649","56949.143000","0.077000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
"650","56949.306000","0.163000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"654","56950.145000","0.171000","localhost ()","remote ()","ATT","29","Sent Write Command, Handle: 0x0053 (Unknown)"
