"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"2658","366860.464000","0.000000","controller","host","HCI_EVT","34","Rcvd LE Meta (LE Enhanced Connection Complete)"
"2666","366860.501000","0.000000","host","controller","HCI_CMD","6","Sent Read Remote Version Information"
"2677","366860.515000","0.000000","controller","host","HCI_EVT","11","Rcvd Read Remote Version Information Complete"
"2679","366860.517000","0.000000","host","controller","HCI_CMD","6","Sent LE Read Remote Features"
"2700","366860.695000","0.000000","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Read Remote Features Complete)"
"2701","366860.697000","0.002000","localhost ()","5f:98:ab:8f:20:48 (BPM Connect E4)","L2CAP","16","Sent "
"2702","366860.702000","0.005000","localhost ()","5f:98:ab:8f:20:48 (BPM Connect E4)","ATT","12","Sent Exchange MTU Request, Client Rx MTU: 185"
"2707","366860.725000","0.004000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2708","366860.725000","0.000000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2712","366860.755000","0.003000","5f:98:ab:8f:20:48 (BPM Connect E4)","localhost ()","L2CAP","19","Rcvd Command Reject"
"2713","366860.755000","0.000000","5f:98:ab:8f:20:48 (BPM Connect E4)","localhost ()","ATT","12","Rcvd Exchange MTU Response, Server Rx MTU: 185"
"2714","366860.756000","0.001000","localhost ()","5f:98:ab:8f:20:48 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0001..0xffff"
"2715","366860.788000","0.032000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2718","366860.815000","0.027000","5f:98:ab:8f:20:48 (BPM Connect E4)","localhost ()","ATT","17","Rcvd Read By Group Type Response, Attribute List Length: 1, Generic Attribute Profile"
"2719","366860.815000","0.000000","localhost ()","5f:98:ab:8f:20:48 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x0005..0xffff"
"2720","366860.852000","0.037000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2724","366860.875000","0.002000","5f:98:ab:8f:20:48 (BPM Connect E4)","localhost ()","ATT","17","Rcvd Read By Group Type Response, Attribute List Length: 1, Generic Access Profile"
"2725","366860.875000","0.000000","localhost ()","5f:98:ab:8f:20:48 (BPM Connect E4)","ATT","16","Sent Read By Group Type Request, GATT Primary Service Declaration, Handles: 0x000a..0xffff"
"2735","366860.905000","0.005000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"2748","366860.936000","0.002000","5f:98:ab:8f:20:48 (BPM Connect E4)","localhost ()","ATT","31","Rcvd Read By Group Type Response, Attribute List Length: 1, Unknown"
