"No.","Time","Delta Time","Source","Destination","Protocol","Length","Info"
"10","330404.315000","0.016000","remote ()","localhost ()","ATT","17","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"11","330404.318000","0.003000","localhost ()","remote ()","ATT","23","Sent Write Request, Handle: 0x000c (Unknown)"
"16","330404.361000","0.021000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"21","330404.377000","0.003000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"22","330404.377000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #23]"
"23","330404.379000","0.002000","remote ()","localhost ()","ATT","7","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"24","330404.382000","0.003000","localhost ()","remote ()","ATT","23","Sent Write Request, Handle: 0x000c (Unknown)"
"30","330404.408000","0.011000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"36","330404.438000","0.004000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"63","330404.616000","0.003000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #65]"
"64","330404.616000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #63] [Reassembled in #65]"
"65","330404.617000","0.001000","remote ()","localhost ()","ATT","17","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"66","330404.623000","0.006000","localhost ()","remote ()","ATT","23","Sent Write Request, Handle: 0x000c (Unknown)"
"73","330404.663000","0.030000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"75","330404.676000","0.013000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"175","330405.278000","0.014000","remote ()","localhost ()","ATT","23","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"176","330405.282000","0.004000","localhost ()","remote ()","ATT","17","Sent Write Request, Handle: 0x000c (Unknown)"
"182","330405.308000","0.005000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"185","330405.336000","0.027000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"186","330405.336000","0.000000","remote ()","localhost ()","ATT","27","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"187","330405.339000","0.003000","localhost ()","remote ()","ATT","25","Sent Write Request, Handle: 0x000c (Unknown)"
"191","330405.373000","0.020000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"198","330405.396000","0.003000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"199","330405.396000","0.000000","remote ()","localhost ()","ATT","21","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"200","330405.399000","0.003000","localhost ()","remote ()","ATT","25","Sent Write Request, Handle: 0x000c (Unknown)"
"204","330405.438000","0.014000","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"213","330405.457000","0.004000","remote ()","localhost ()","ATT","10","Rcvd Write Response, Handle: 0x000c (Unknown)"
"214","330405.457000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #218]"
"215","330405.457000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #214] [Reassembled in #218]"
"216","330405.459000","0.002000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #214] [Reassembled in #218]"
"217","330405.459000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #214] [Reassembled in #218]"
"218","330405.460000","0.001000","remote ()","localhost ()","ATT","30","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"224","330405.486000","0.001000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #225]"
"225","330405.486000","0.000000","remote ()","localhost ()","ATT","14","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"226","330405.486000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #239]"
"227","330405.488000","0.002000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #226] [Reassembled in #239]"
"228","330405.488000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #226] [Reassembled in #239]"
"229","330405.489000","0.001000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #226] [Reassembled in #239]"
"239","330405.517000","0.002000","remote ()","localhost ()","ATT","30","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"240","330405.517000","0.000000","remote ()","localhost ()","ATT","29","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"241","330405.517000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #245]"
"242","330405.519000","0.002000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #241] [Reassembled in #245]"
"243","330405.519000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #241] [Reassembled in #245]"
"244","330405.519000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #241] [Reassembled in #245]"
"245","330405.521000","0.002000","remote ()","localhost ()","ATT","30","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"246","330405.523000","0.002000","remote ()","localhost ()","ATT","29","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"247","330405.523000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #253]"
"248","330405.523000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #247] [Reassembled in #253]"
"251","330405.547000","0.015000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #247] [Reassembled in #253]"
"252","330405.547000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #247] [Reassembled in #253]"
"253","330405.547000","0.000000","remote ()","localhost ()","ATT","30","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"254","330405.548000","0.001000","remote ()","localhost ()","ATT","29","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"255","330405.549000","0.001000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #259]"
"256","330405.549000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #255] [Reassembled in #259]"
"257","330405.551000","0.002000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #255] [Reassembled in #259]"
"258","330405.551000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #255] [Reassembled in #259]"
"259","330405.552000","0.001000","remote ()","localhost ()","ATT","30","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"260","330405.552000","0.000000","remote ()","localhost ()","ATT","29","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"264","330405.577000","0.011000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #268]"
"265","330405.577000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #264] [Reassembled in #268]"
"266","330405.577000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #264] [Reassembled in #268]"
"267","330405.579000","0.002000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #264] [Reassembled in #268]"
"268","330405.579000","0.000000","remote ()","localhost ()","ATT","30","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"269","330405.581000","0.002000","remote ()","localhost ()","ATT","29","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"272","330405.607000","0.007000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #276]"
"273","330405.607000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #272] [Reassembled in #276]"
"274","330405.607000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #272] [Reassembled in #276]"
"275","330405.609000","0.002000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #272] [Reassembled in #276]"
"276","330405.609000","0.000000","remote ()","localhost ()","ATT","30","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"277","330405.610000","0.001000","remote ()","localhost ()","ATT","29","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"278","330405.610000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #289]"
"279","330405.612000","0.002000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #278] [Reassembled in #289]"
"280","330405.612000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #278] [Reassembled in #289]"
"281","330405.614000","0.002000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #278] [Reassembled in #289]"
"289","330405.635000","0.002000","remote ()","localhost ()","ATT","30","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"292","330405.636000","0.001000","remote ()","localhost ()","ATT","29","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"293","330405.638000","0.002000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #297]"
"294","330405.638000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #293] [Reassembled in #297]"
"295","330405.640000","0.002000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #293] [Reassembled in #297]"
"296","330405.640000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #293] [Reassembled in #297]"
"297","330405.641000","0.001000","remote ()","localhost ()","ATT","30","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"298","330405.643000","0.002000","remote ()","localhost ()","ATT","29","Rcvd Handle Value Notification, Handle: 0x000c (Unknown)"
"299","330405.643000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Reassembled in #307]"
"300","330405.643000","0.000000","remote ()","localhost ()","HCI_ACL","32","Rcvd  [Continuation to #299] [Reassembled in #307]"
